Item Code,Item Name,Category Code,Category Name
102900005115168,Niushou Shengcai,1011010101,Flower/Leaf Vegetables
102900005115199,Sichuan Red Cedar,1011010101,Flower/Leaf Vegetables
102900005115625,Local Xiaomao Cabbage,1011010101,Flower/Leaf Vegetables
102900005115748,White Caitai,1011010101,Flower/Leaf Vegetables
102900005115762,Amaranth,1011010101,Flower/Leaf Vegetables
102900005115779,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables
102900005115786,Zhuyecai,1011010101,Flower/Leaf Vegetables
102900005115793,Chinese Cabbage,1011010101,Flower/Leaf Vegetables
102900005115816,Nanguajian,1011010101,Flower/Leaf Vegetables
102900005115823,Shanghaiqing,1011010101,Flower/Leaf Vegetables
102900005115854,Radish Leaves,1011010101,Flower/Leaf Vegetables
102900005115861,Niushou Youcai,1011010101,Flower/Leaf Vegetables
102900005115878,Garden Chrysanthemum,1011010101,Flower/Leaf Vegetables
102900005115885,Caidian Quinoa Artemisia,1011010101,Flower/Leaf Vegetables
102900005115908,Caixin,1011010101,Flower/Leaf Vegetables
102900005115946,Muercai,1011010101,Flower/Leaf Vegetables
102900005115960,Chinese Cabbage,1011010101,Flower/Leaf Vegetables
102900005115977,Wandoujian,1011010101,Flower/Leaf Vegetables
102900005115984,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables
102900005116639,Machixian,1011010101,Flower/Leaf Vegetables
102900005116776,Local Spinach,1011010101,Flower/Leaf Vegetables
102900005116790,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables
102900005116806,Black Rapeseed,1011010101,Flower/Leaf Vegetables
102900005118572,Local Shanghaiqing,1011010101,Flower/Leaf Vegetables
102900005118817,Spinach,1011010101,Flower/Leaf Vegetables
102900005118831,Wawacai,1011010101,Flower/Leaf Vegetables
102900005119975,Hongshujian,1011010101,Flower/Leaf Vegetables
102900005122654,Zhijiang Red Bolt,1011010101,Flower/Leaf Vegetables
102900005128748,Huanghuacai,1011010101,Flower/Leaf Vegetables
102900011000175,Kuaicai,1011010101,Flower/Leaf Vegetables
102900011000571,Suizhou Bubble Green,1011010101,Flower/Leaf Vegetables
102900011002414,Panax Notoginseng,1011010101,Flower/Leaf Vegetables
102900011006689,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables
102900011006948,Foreign Garland Chrysanthemum ,1011010101,Flower/Leaf Vegetables
102900011006955,Ice Grass,1011010101,Flower/Leaf Vegetables
102900011007464,Perilla,1011010101,Flower/Leaf Vegetables
102900011007471,Mint,1011010101,Flower/Leaf Vegetables
102900011007495,The Dandelion,1011010101,Flower/Leaf Vegetables
102900011008133,Siguajian,1011010101,Flower/Leaf Vegetables
102900011008164,Naibaicai,1011010101,Flower/Leaf Vegetables
102900011008485,Mustard,1011010101,Flower/Leaf Vegetables
102900011008492,Big Broccoli,1011010101,Flower/Leaf Vegetables
102900011008515,Miantiaocai,1011010101,Flower/Leaf Vegetables
102900011008522,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables
102900011008676,Jicai,1011010101,Flower/Leaf Vegetables
102900011015384,Malan Head,1011010101,Flower/Leaf Vegetables
102900011015391,Ganlanye,1011010101,Flower/Leaf Vegetables
102900011021644,Hongshan Caitai,1011010101,Flower/Leaf Vegetables
102900011022849,The Local Yellow Youcai,1011010101,Flower/Leaf Vegetables
102900011022924,Green Caitai,1011010101,Flower/Leaf Vegetables
102900011023464,Xiaoqingcai (1),1011010101,Flower/Leaf Vegetables
102900011026502,Fresh Rice Dumplings Leaves,1011010101,Flower/Leaf Vegetables
102900011026618,Aihao,1011010101,Flower/Leaf Vegetables
102900011027462,Naibai Caimiao,1011010101,Flower/Leaf Vegetables
102900011027615,Juhua Youcai,1011010101,Flower/Leaf Vegetables
102900011029688,Shuanggou Cabbage,1011010101,Flower/Leaf Vegetables
102900011030042,Zhijiang Red Bolt (Bag),1011010101,Flower/Leaf Vegetables
102900011030059,Yunnan Lettuce (Bag),1011010101,Flower/Leaf Vegetables
102900011030097,Yunnan Leaf Lettuce (Bag),1011010101,Flower/Leaf Vegetables
102900011030103,Garden Chrysanthemum (Bag),1011010101,Flower/Leaf Vegetables
102900011030110,Spinach (Bag),1011010101,Flower/Leaf Vegetables
102900011030134,Caixin (Bag),1011010101,Flower/Leaf Vegetables
102900011030141,Shanghai Green (Bag),1011010101,Flower/Leaf Vegetables
102900011030158,Xiaoqingcai (2),1011010101,Flower/Leaf Vegetables
102900011030400,Hongshan Shoutidai,1011010101,Flower/Leaf Vegetables
102900011030417,Hongshan Gift Box,1011010101,Flower/Leaf Vegetables
102900011030905,Yuxingcao (Bag),1011010101,Flower/Leaf Vegetables
102900011031216,Ice Grass (Box),1011010101,Flower/Leaf Vegetables
102900011032176,Basil (Bag),1011010101,Flower/Leaf Vegetables
102900011032282,Xiangtianhongcaitai (Bag),1011010101,Flower/Leaf Vegetables
102900011032480,Artemisia Stelleriana,1011010101,Flower/Leaf Vegetables
102900011032589,Yuxingcao ,1011010101,Flower/Leaf Vegetables
102900011032787,Zhuyecai (Bag),1011010101,Flower/Leaf Vegetables
102900011033081,Chuncai,1011010101,Flower/Leaf Vegetables
102900011033173,Sophora Japonica,1011010101,Flower/Leaf Vegetables
102900011033234,Hongshujian (Bag),1011010101,Flower/Leaf Vegetables
102900011033241,Caidian Quinoa Artemisia (Bag),1011010101,Flower/Leaf Vegetables
102900011033531,Red Coral (Leaf),1011010101,Flower/Leaf Vegetables
102900011033562,Red Oak Leaf,1011010101,Flower/Leaf Vegetables
102900011033586,Green Butter,1011010101,Flower/Leaf Vegetables
102900011033906,Powcan Mountain Chinese Cabbage ,1011010101,Flower/Leaf Vegetables
102900011033920,Huangxincai (2),1011010101,Flower/Leaf Vegetables
102900011034200,Amaranth (Bag),1011010101,Flower/Leaf Vegetables
102900011034217,Chinese Cabbage (Bag),1011010101,Flower/Leaf Vegetables
102900011034224,Xiaoqingcai (Bag),1011010101,Flower/Leaf Vegetables
102900011034231,Cabbage Stem (Bag),1011010101,Flower/Leaf Vegetables
102900011034316,Zhimaxiancai,1011010101,Flower/Leaf Vegetables
102900011034323,Xianzongye,1011010101,Flower/Leaf Vegetables
102900011034354,Xianzongye (Bag) (1),1011010101,Flower/Leaf Vegetables
102900011035481,Foreign Garland Chrysanthemum  (Bag),1011010101,Flower/Leaf Vegetables
102900011035764,Longyacai,1011010101,Flower/Leaf Vegetables
102900011035771,Yellow Baicai (1),1011010101,Flower/Leaf Vegetables
102900011035849,Chinese Cabbage Seedling,1011010101,Flower/Leaf Vegetables
102900011036686,Muercai (Bag),1011010101,Flower/Leaf Vegetables
102900051000890,Broccoli,1011010101,Flower/Leaf Vegetables
102900051009220,Youcaitai,1011010101,Flower/Leaf Vegetables
102900051010455,Huangbaicai (2),1011010101,Flower/Leaf Vegetables
102900051010790,Purple Beicai,1011010101,Flower/Leaf Vegetables
106971563780002,Xianzongye (Bag) (2),1011010101,Flower/Leaf Vegetables
106972776821582,Xianzongye (Bag) (3),1011010101,Flower/Leaf Vegetables
102900005116714,Broccoli,1011010201,Cabbage
102900011000632,Purple Cabbage (1),1011010201,Cabbage
102900011009970,Qinggengsanhua,1011010201,Cabbage
102900011033913,Purple Cabbage (2),1011010201,Cabbage
102900011034026,Zhijiang Qinggengsanhua,1011010201,Cabbage
102900005116042,Lotus Root,1011010402,Aquatic Tuberous Vegetables
102900005116899,Net Lotus Root (1),1011010402,Aquatic Tuberous Vegetables
102900005118824,High Melon (1),1011010402,Aquatic Tuberous Vegetables
102900011001561,Lotus (Ea),1011010402,Aquatic Tuberous Vegetables
102900011001691,Water Chestnut (Lingjiao),1011010402,Aquatic Tuberous Vegetables
102900011007969,Red Lotus Root Zone,1011010402,Aquatic Tuberous Vegetables
102900011009277,Water Chestnut,1011010402,Aquatic Tuberous Vegetables
102900011010891,Wild Lotus Root (1),1011010402,Aquatic Tuberous Vegetables
102900011018132,Wild Pink Lotus Root,1011010402,Aquatic Tuberous Vegetables
102900011021842,Honghu Lotus Root Powder (Fenou),1011010402,Aquatic Tuberous Vegetables
102900011023976,Net Lotus Root (2),1011010402,Aquatic Tuberous Vegetables
102900011024010,Fresh Lotus Root Zone (Bag),1011010402,Aquatic Tuberous Vegetables
102900011032114,Water Chestnut (Bag),1011010402,Aquatic Tuberous Vegetables
102900011032732,High Melon (2),1011010402,Aquatic Tuberous Vegetables
102900011034569,Honghu Lotus (Lotus Root),1011010402,Aquatic Tuberous Vegetables
102900011035511,Net Lotus Root (3),1011010402,Aquatic Tuberous Vegetables
102900011035962,Wild Lotus Root (2),1011010402,Aquatic Tuberous Vegetables
102900051000944,Honghu Lotus Root,1011010402,Aquatic Tuberous Vegetables
102900051006229,Lotus Root Tip,1011010402,Aquatic Tuberous Vegetables
102900005116257,Eggplant (2),1011010501,Solanum
102900005116509,Green Eggplant (1),1011010501,Solanum
102900011000335,Round Eggplant,1011010501,Solanum
102900011009444,Dalong Eggplant,1011010501,Solanum
102900011016909,Hua Eggplant,1011010501,Solanum
102900011022764,Changxianqie,1011010501,Solanum
102900011033975,Green Eggplant (2),1011010501,Solanum
102900011033982,Eggplant (1),1011010501,Solanum
102900011033999,Round Eggplant (1),1011010501,Solanum
102900051000463,Round Eggplant (2),1011010501,Solanum
102900005116219,Red Hot Peppers,1011010504,Capsicum
102900005116226,Green Hot Peppers,1011010504,Capsicum
102900005116233,Red Pepper (1),1011010504,Capsicum
102900005116905,Green Hangjiao (1),1011010504,Capsicum
102900005116943,Red Hang Pepper,1011010504,Capsicum
102900005117056,Paopaojiao (Jingpin),1011010504,Capsicum
102900005117209,7 Colour Pepper (1),1011010504,Capsicum
102900005119968,Green Hangzhou Pepper (2),1011010504,Capsicum
102900005123880,Bell Pepper (1),1011010504,Capsicum
102900005125808,Millet Pepper,1011010504,Capsicum
102900011000328,Luosi Pepper,1011010504,Capsicum
102900011000861,Red Line Pepper,1011010504,Capsicum
102900011001219,The Red Bell Pepper (1),1011010504,Capsicum
102900011009772,Fruit Pepper (Orange),1011010504,Capsicum
102900011016701,Wuhu Green Pepper (1),1011010504,Capsicum
102900011022030,Pepper Mix,1011010504,Capsicum
102900011023648,Wuhu Green Pepper (2),1011010504,Capsicum
102900011027479,Xiaozhoupi,1011010504,Capsicum
102900011028407,Yuganjiao,1011010504,Capsicum
102900011029176,Lameizi,1011010504,Capsicum
102900011029275,Purple Hot Peppers,1011010504,Capsicum
102900011029299,Purple Screw Pepper,1011010504,Capsicum
102900011029305,Fruit Chili,1011010504,Capsicum
102900011031100,Millet Pepper (Bag),1011010504,Capsicum
102900011031582,Green Hot Peppers (Bag),1011010504,Capsicum
102900011031735,7 Colour Pepper (Bag),1011010504,Capsicum
102900011031742,Bell Pepper (Bag),1011010504,Capsicum
102900011031759,Red Bell Pepper (Bag),1011010504,Capsicum
102900011032022,Xiaozhoupi (Bag),1011010504,Capsicum
102900011032145,Wuhu Green Pepper (Bag),1011010504,Capsicum
102900011032206,Green Hang Pepper (Bag),1011010504,Capsicum
102900011032213,Red Hang Pepper (Bag),1011010504,Capsicum
102900011032220,Fruit Pepper (Bag),1011010504,Capsicum
102900011032237,Green Line Pepper (Bag),1011010504,Capsicum
102900011032244,Red Hot Peppers (Bag),1011010504,Capsicum
102900011032251,Luosi Pepper (Bag),1011010504,Capsicum
102900011032343,7 Colour Pepper (2),1011010504,Capsicum
102900011032350,Bell Pepper (2),1011010504,Capsicum
102900011032367,Red Bell Pepper (2),1011010504,Capsicum
102900011032848,Ginger And Xiaomijiao Mix (Small Bag),1011010504,Capsicum
102900011034262,Red Pepper (Bag),1011010504,Capsicum
102900011034439,Green And Red Hang Pepper Mix (Bag),1011010504,Capsicum
102900011035078,Red Pepper (2),1011010504,Capsicum
102900011036242,Green And Red Jian Pepper Mix (Bag),1011010504,Capsicum
102900051004294,Green Line Pepper,1011010504,Capsicum
102900005115250,Xixia Black Mushroom (1),1011010801,Edible Mushroom
102900005116530,Xixia Mushroom (1),1011010801,Edible Mushroom
102900005116547,Needle Mushroom (1),1011010801,Edible Mushroom
102900005116837,Ping Mushroom,1011010801,Edible Mushroom
102900005116912,Jigu Mushroom (1),1011010801,Edible Mushroom
102900005117353,The White Mushroom (1),1011010801,Edible Mushroom
102900005119098,The Agaricus Bisporus,1011010801,Edible Mushroom
102900005119104,The Crab Flavor Mushroom (1),1011010801,Edible Mushroom
102900005119944,Haixian Mushroom (1),1011010801,Edible Mushroom
102900005125815,Apricot Bao Mushroom (1),1011010801,Edible Mushroom
102900011001806,Jigu Mushroom (Bunch),1011010801,Edible Mushroom
102900011001813,Needle Mushroom (Bag) (1),1011010801,Edible Mushroom
102900011007044,Tremella (Flower),1011010801,Edible Mushroom
102900011008577,Hericium ,1011010801,Edible Mushroom
102900011009246,Fresh Black Fungus (1),1011010801,Edible Mushroom
102900011010563,Chicken Fir Bacteria,1011010801,Edible Mushroom
102900011011058,Black Porcini,1011010801,Edible Mushroom
102900011011546,Haixian Mushroom (Bag) (1),1011010801,Edible Mushroom
102900011011669,Xiuzhen Mushroom,1011010801,Edible Mushroom
102900011011782,Chinese Caterpillar Fungus Flowers (Box) (1),1011010801,Edible Mushroom
102900011012482,Tea Tree Mushroom (Bag),1011010801,Edible Mushroom
102900011012871,Black Chicken  Mushroom,1011010801,Edible Mushroom
102900011012994,Apricot Bao Mushroom (Bag),1011010801,Edible Mushroom
102900011013274,The White Mushroom (Bag),1011010801,Edible Mushroom
102900011018095,Chinese Caterpillar Fungus Flowers (Bag),1011010801,Edible Mushroom
102900011021675,Chopped Red Pine,1011010801,Edible Mushroom
102900011021699,The Steak Mushrooms,1011010801,Edible Mushroom
102900011023075,White Jelly Mushroom,1011010801,Edible Mushroom
102900011026793,Apricot Bao Mushroom (250 G),1011010801,Edible Mushroom
102900011030561,Chopped Red Pine (Box),1011010801,Edible Mushroom
102900011030608,The Steak Mushrooms (Box),1011010801,Edible Mushroom
102900011030615,The Pork Stomach Mushroom (Box),1011010801,Edible Mushroom
102900011030622,Black Porcini (Box),1011010801,Edible Mushroom
102900011030639,Black Chicken Fir Bacteria (Box),1011010801,Edible Mushroom
102900011030912,Haixian Mushroom (Bag),1011010801,Edible Mushroom
102900011030929,Fresh Edible Fungus (Bag),1011010801,Edible Mushroom
102900011031599,Apricot Bao Mushroom (Bag),1011010801,Edible Mushroom
102900011031841,Agaricus Bisporus (Bag),1011010801,Edible Mushroom
102900011031858,Needle Mushroom (Bag),1011010801,Edible Mushroom
102900011031926,Chinese Caterpillar Fungus Flowers (Bag),1011010801,Edible Mushroom
102900011031995,Jigu (Bag),1011010801,Edible Mushroom
102900011032619,Xixia Xianggu Mushroom (2),1011010801,Edible Mushroom
102900011032626,Fresh Edible Fungus (2),1011010801,Edible Mushroom
102900011032633,Fresh Sea (2),1011010801,Edible Mushroom
102900011032640,Jigu (2),1011010801,Edible Mushroom
102900011033937,Needle Mushroom (2),1011010801,Edible Mushroom
102900011033944,Apricot Bao Mushroom (2),1011010801,Edible Mushroom
102900011033968,Xixia Black Mushroom (2),1011010801,Edible Mushroom
102900011034330,Agaricus Bisporus (Box),1011010801,Edible Mushroom
102900011034538,Black Mushroom (Bag),1011010801,Edible Mushroom
102900011034705,The Fungus Mushroom Hot Pot Package (Bag),1011010801,Edible Mushroom
102900011035740,Crab Flavor Mushroom And White Mushroom Mix (Box),1011010801,Edible Mushroom
102900011035788,Xixia Xianggu Mushroom (Bag),1011010801,Edible Mushroom
102900011036068,Mushroom And Leaf Mix (Bag),1011010801,Edible Mushroom
102900011036266,Velvet Antler Mushroom (Box),1011010801,Edible Mushroom
102900051009336,Chinese Caterpillar Fungus Flowers,1011010801,Edible Mushroom
106930274220092,The Crab Flavor Mushroom (Bag),1011010801,Edible Mushroom
106930274620090,Haixian Mushroom (Bag) (2),1011010801,Edible Mushroom
106931885000035,Embroidered Aureus,1011010801,Edible Mushroom
106931885000356,Embroidered Aureus (Bag),1011010801,Edible Mushroom
106949711300068,Needle Mushroom (Bag) (3),1011010801,Edible Mushroom
106949711300167,Needle Mushroom (Bag) (2),1011010801,Edible Mushroom
106949711300259,Needle Mushroom (Box),1011010801,Edible Mushroom
106956146480197,The White Mushroom (2),1011010801,Edible Mushroom
106956146480203,The Crab Flavor Mushroom (2),1011010801,Edible Mushroom
106957634300010,The White Mushroom (Box),1011010801,Edible Mushroom
106957634300058,The Crab Flavor Mushroom (Box),1011010801,Edible Mushroom
106958851400125,Haixian Mushroom (Bag) (4),1011010801,Edible Mushroom
106971533450003,Haixian Mushroom (Bunch),1011010801,Edible Mushroom
106971533455008,Haixian Mushroom (Bag) (3),1011010801,Edible Mushroom
106973223300667,Chinese Caterpillar Fungus Flowers (Box) (2),1011010801,Edible Mushroom
106973990980123,Hfyg Haixian Mushroom (Bunch),1011010801,Edible Mushroom
