orden,anio,mes,dia,fecha,pais,ciudad,categoría,producto,precio,util_porcent,Cantidad,Total,utilidad
1,2023,1,16,2023-01-16,Chile,Valparaíso,Tablets,Samsung Galaxy Tab S7,699,0.15,1,699,104.85
2,2023,1,1,2023-01-01,Colombia,Cali,Smartphones,Asus ROG Phone 5,1099,0.13,2,2198,285.74
3,2023,1,15,2023-01-15,Perú,Trujillo,Tablets,LG G Pad 5 10.1,249,0.33,2,498,164.34
4,2023,1,16,2023-01-16,Perú,Lima,Tablets,Microsoft Surface Pro 7,999,0.35,4,3996,1398.6
5,2023,1,18,2023-01-18,Paraguay,Ciudad del Este,Auriculares,Beats Studio3,274,0.13,1,274,35.620000000000005
6,2023,1,31,2023-01-31,Chile,Santiago,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
7,2023,1,16,2023-01-16,Chile,Concepción,Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
8,2023,1,11,2023-01-11,Costa Rica,Limón,Auriculares,Sennheiser Momentum 3,324,0.32,3,972,311.04
9,2023,1,11,2023-01-11,Ecuador,Guayaquil,Laptops,MSI GS66 Stealth,2249,0.2,5,11245,2249.0
10,2023,1,8,2023-01-08,Costa Rica,Limón,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
11,2023,1,31,2023-01-31,México,Ciudad de México (CDMX),Laptops,Dell XPS 13,1399,0.35,3,4197,1468.9499999999998
12,2023,1,9,2023-01-09,Brasil,Río de Janeiro,Auriculares,Bose QuietComfort 35 II,274,0.28,3,822,230.16000000000003
13,2023,1,10,2023-01-10,Perú,Trujillo,Auriculares,Beats Studio3,274,0.13,5,1370,178.1
14,2023,1,4,2023-01-04,Paraguay,Asunción,Auriculares,Razer Opus,224,0.11,5,1120,123.2
15,2023,1,23,2023-01-23,Chile,Valparaíso,Auriculares,Bose QuietComfort 35 II,274,0.28,3,822,230.16000000000003
16,2023,1,3,2023-01-03,Costa Rica,Limón,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
17,2023,1,23,2023-01-23,Paraguay,Encarnación,Tablets,iPad Air,649,0.33,2,1298,428.34000000000003
18,2023,1,31,2023-01-31,México,Monterrey,Laptops,Acer Swift 5,899,0.32,1,899,287.68
19,2023,1,31,2023-01-31,Chile,Santiago,Smartphones,iPhone 13,1099,0.19,5,5495,1044.05
20,2023,1,17,2023-01-17,Chile,Valparaíso,Smartphones,LG Velvet,649,0.12,3,1947,233.64
21,2023,1,12,2023-01-12,Costa Rica,Limón,Tablets,Xiaomi Mi Pad 5,449,0.26,2,898,233.48000000000002
22,2023,1,9,2023-01-09,México,Ciudad de México (CDMX),Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72000000000003
23,2023,1,17,2023-01-17,Costa Rica,San José,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
24,2023,1,27,2023-01-27,Perú,Trujillo,Laptops,ASUS ZenBook 14,1149,0.29,2,2298,666.42
25,2023,1,21,2023-01-21,Colombia,Cali,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
26,2023,1,20,2023-01-20,Paraguay,Asunción,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
27,2023,1,11,2023-01-11,Ecuador,Cuenca,Tablets,Microsoft Surface Pro 7,999,0.35,3,2997,1048.95
28,2023,1,8,2023-01-08,Colombia,Medellín,Auriculares,Razer Opus,224,0.11,4,896,98.56
29,2023,1,12,2023-01-12,Perú,Lima,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72000000000001
30,2023,1,25,2023-01-25,México,Guadalajara,Smartphones,Sony Xperia 1 III,1199,0.1,2,2398,239.8
31,2023,1,18,2023-01-18,Bolivia,Cochabamba,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,5,10245,1126.95
32,2023,1,8,2023-01-08,Perú,Arequipa,Auriculares,Beats Studio3,274,0.13,3,822,106.86
33,2023,1,24,2023-01-24,Perú,Trujillo,Auriculares,Microsoft Surface Earbuds,224,0.14,4,896,125.44000000000001
34,2023,1,13,2023-01-13,Bolivia,Cochabamba,Smartphones,iPhone 13,1099,0.19,3,3297,626.4300000000001
35,2023,1,24,2023-01-24,Perú,Lima,Laptops,ASUS ZenBook 14,1149,0.29,2,2298,666.42
36,2023,1,25,2023-01-25,Brasil,Río de Janeiro,Laptops,MacBook Pro 14,2999,0.19,5,14995,2849.05
37,2023,1,10,2023-01-10,Brasil,Río de Janeiro,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,4,8196,901.5600000000001
38,2023,1,23,2023-01-23,Bolivia,Santa Cruz de la Sierra,Auriculares,Sony WH-1000XM4,324,0.27,1,324,87.48
39,2023,1,27,2023-01-27,Paraguay,Asunción,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,2,4098,450.78000000000003
40,2023,1,2,2023-01-02,Uruguay,Salto,Auriculares,Samsung Galaxy Buds Pro,174,0.11,2,348,38.28
41,2023,1,30,2023-01-30,Venezuela,Valencia,Smartphones,Xiaomi Mi 11,699,0.2,5,3495,699.0
