neighbourhood,latitude,longitude,property_type,price,rooms,baths,area,administration_price,age,garages,stratum
Suramerica,6.1862025,-75.5994371,Apartamento,435000000,3,2,83.0,354400.0,1.0,1,4
Escobero,6.1627997,-75.57351899999999,Apartamento,680000000,3,4,124.0,480000.0,2.0,2,4
Castropol,6.2161401,-75.56697,Apartamento,900000000,3,3,111.0,813000.0,1.0,2,6
Toledo,6.1627622,-75.6393071,Casa,650000000,3,2,127.0,0.0,2.0,1,4
La pilarica,6.2476376,-75.56581530000001,Apartamento,320000000,3,2,72.0,250000.0,,2,5
Calle larga,6.151831,-75.6206232,Apartamento,365000000,3,2,66.0,220000.0,1.0,1,4
Loma de las brujas,6.1617178,-75.5789599,Casa,750000000,4,4,200.0,398000.0,3.0,2,5
La candelaria,6.253750500000001,-75.5600699,Apartamento,425000000,3,2,188.0,0.0,,,4
Escobero,6.1617709,-75.5739926,Casa,1420000000,3,3,255.0,215000.0,1.0,7,5
La playita,6.116801199999999,-75.6347021,Apartamento,145000000,2,1,47.0,120000.0,1.0,1,3
las lomitas,6.146133799999999,-75.6058516,Apartamento,350000000,3,2,60.0,230000.0,0.0,1,4
CENTRO,6.170226,-75.5878094,Apartamento,680000000,3,2,150.0,0.0,4.0,,3
El esmeraldal,6.167286499999999,-75.5836963,Apartamento,495000000,3,3,92.0,36200000.0,2.0,2,5
Fatima,6.1681832,-75.6190324,Apartamento,290000000,2,2,59.0,207816.0,1.0,1,4
El dorado,6.1663931,-75.5867069,Apartamento,600000000,4,2,147.0,0.0,2.0,,3
Escobero,6.1300515,-75.5506587,Apartamento,780000000,3,3,108.0,0.0,,2,5
ZONA CENTRO SABANETA,6.1504856,-75.61687859999999,Apartamento,369000000,2,2,62.0,0.0,,,4
El carmelo,6.1550476,-75.6160729,Apartamento,200000000,2,1,49.0,0.0,4.0,,2
Cordoba,6.280886499999999,-75.5771735,Apartamento,300000000,3,2,75.0,0.0,,,3
LAS ANTILLAS,6.1555043,-75.58952649999999,Apartamento,375000000,2,2,67.0,263000.0,0.0,1,4
Conjunto residencial san fransisco,6.1548494,-75.57373679999999,Apartamento,615000000,3,2,83.0,0.0,0.0,2,4
Nuestra señora de los dolores,6.1574831,-75.6143943,Apartamento,362000000,3,2,66.0,0.0,1.0,1,4
Altos del Poblado,6.206159,-75.5843652,Apartamento,2500000000,4,5,295.34,924200.0,2.0,3,6
loma del esmeraldal,6.167286499999999,-75.5836963,Apartamento,565000000,2,2,87.0,0.0,,,5
Centro,6.1722512,-75.6086458,Apartamento,300000000,3,2,88.0,0.0,1.0,,3
Santa catalina,6.1646493,-75.632396,Apartamento,390000000,2,2,68.0,257400.0,1.0,1,3
Maria auxiliadora,6.1504856,-75.61687859999999,Apartamento,228000000,3,2,51.0,0.0,,,3
Aburra Sur Alto de las Palmas,6.167286499999999,-75.5836963,Apartamento,780000000,1,2,89.0,517000.0,1.0,1,5
Aves Maria,6.1474192,-75.61234859999999,Apartamento,335000000,3,2,77.0,0.0,0.0,1,4
