neighbourhood_Encoded,neighbourhood
501,SURAMERICA
178,ESCOBERO
96,CASTROPOL
511,TOLEDO
268,LA PILARICA
76,CALLE LARGA
309,LOMA DE LAS BRUJAS
226,LA CANDELARIA
270,LA PLAYITA
296,LAS LOMITAS
101,CENTRO
149,EL ESMERALDAL
185,FATIMA
147,EL DORADO
101,ZONA CENTRO SABANETA
137,EL CARMELO
125,CORDOBA
285,LAS ANTILLAS
120,CONJUNTO RESIDENCIAL SAN FRANSISCO
379,NUESTRA SEÑORA DE LOS DOLORES
17,ALTOS DEL POBLADO
149,LOMA DEL ESMERALDAL
472,SANTA CATALINA
354,MARIA AUXILIADORA
2,ABURRA SUR ALTO DE LAS PALMAS
35,AVES MARIA
299,LAS ORQUIDEAS
340,LOS NARANJOS
113,COLA DEL ZORRO
17,EL POBLADO
401,PEDREGAL
592,ZUÑIGA
469,SAN RAFAEL
303,LAURELES
149,ESMERALDAL
65,BUENOS AIRES
451,SAN CRISTOBAL
462,SAN LUCAS
95,CASTILLA
212,LA ALDEA
241,LA FE
581,VIRGEN DEL CARMEN
498,SIMON BOLIVAR
393,PAN DE AZUCAR
236,LA DOCTORA
215,LA AMERICA
30,ASOMADERA NO.3
174,ENVIGADO
44,BELEN
40,BARRIO POPULAR
161,EL ROSARIO
129,DITAIRES
320,LOMA DEL INDIO
262,LA MINA
94,CASCUÑA
437,ROBLEDO
481,SANTA MARIA DE LOS ANGELES
72,CALASANZ
437,URBANIZACION DOÑA MARIA ROBLEDO
322,LOMA EL ATRAVESADO
243,LA FINCA
197,GUAYABAL
44,BELEN LA PALMA
475,SANTA FE
332,LOS ARIAS
306,LOMA BENEDICTINOS
121,CONJUNTO RESIDENCIAL SAN JOSE
437,ROBLEDO PAJARITO
263,LA MOTA
318,LOMA DEL CAMPESTRE
521,TRES ESQUINAS
563,VEREDA SAN JOSE
485,SANTA ROSA DE LIMA
157,EL PORTAL
180,ESTACION VILLA
442,SABANETA REAL
319,LOMA DEL CHOCHO
355,MAYORCA
384,ORIENTE ANTIOQUEÑO CABECERAS
457,SAN GERMAN
496,SEÑORIAL
448,SAN ANTONIO DE PRADO
314,LOMA DE SAN JOSE
143,EL CONSEJO
437,ROBLEDO LA CAMPIÑA
373,NAZARETH
101,CENTRO DE LA MODA
422,PRADOS DE SABANETA
88,CAQUETA
438,PAJARITO
80,CAMINO VERDE
191,FRANCISCO ANTONIO ZEA
252,LA INMACULADA
128,CUMBRES
555,URBANIZACION VILLA VENTURA
329,LOS ALCAZARES
35,AVES MARIAS
497,SHELLMAR
2,LAS PALMAS
313,LOMA DE LOS PARRA
178,LOMA DEL ESCOBERO
90,CARLOS E RESTREPO
163,EL SALVADOR
306,BENEDICTINOS
164,EL SOCORRO
199,HOLANDA
482,SANTA MARIA LA NUEVA
428,QUEBRADA LA CLARA
61,BOSTON
481,POBLADO SANTA MARIA DE LOS ANGELES
203,ITAGUI
544,URBANIZACION NUEVA ANDALUCIA
484,SANTA MONICA
571,VILLA NUEVA
101,ZONA CENTRO
295,LAS LOMAS NO.1
286,LAS BRISAS
440,RODEO ALTO
230,LA CEJA
121,SAN JOSE
492,SECTOR PARQUE
463,SAN MARCOS
448,PRADO
351,MANRIQUE
84,CAMPO VALDES NO.1
258,LA MAGNOLIA
366,MONTEAZUL
587,SABANETA
38,BARRIO CRISTOBAL
29,ASOMADERA NO.2
452,SAN DIEGO
101,CENTRO ADMINISTRATIVO
244,LA FLORESTA
52,LOMA DE LOS BENEDICTINOS
44,BELEN SAN BERNARDO
317,LOMA DEL BARRO
357,MESA
315,LOMA DEL ATRAVESADO
257,LA MADERA
318,EL CAMPESTRE
236,VEGAS DE LA DOCTORA
512,TORRES DE SANTA BARBARA
174,LOMA DEL ATRAVESADO ENVIGADO
517,TRANSVERSAL INTERMEDIA
12,ALQUERIA DE SAN ISIDRO
24,ARANJUEZ
28,ASDESILLAS
44,BELEN ROSALES
241,LA FERRERIA
151,EL LLANO (SANTA ELENA)
236,LAGOS DE LA DOCTORA
7,ALDEA VERDE
357,LOPEZ DE MESA
109,CIUDADELA DEL VALLE
44,BELEN LAS MERCEDES
190,FLORIDA NUEVA
347,MALIBU
145,EL DANUBIO
72,CALASANZ PARTE ALTA
208,KENNEDY
101,PRADO CENTRO MEDELLIN
160,EL RODEO
70,CAICEDO
522,TRIANA
429,QUINTAS DE LA QUINTA
72,CALASANZ PARTE BAJA
311,LOMA DE LOS BERNAL
2,ALTO DE LAS PALMAS
399,PARQUE RESIDENCIAL LA SABANA
108,CIUDAD DEL RIO
582,VIVIENDAS DEL SUR
141,EL CHINGUI
527,UB. RESERVA DE SAN JUAN 2
320,LA LOMA DEL INDIO
567,VILLA HERMOSA
394,PANTANILLO
245,LA FLORIDA
86,CAMPO VALDEZ
415,PONTEVEDRA
167,EL TRIANON
204,JARDINES
540,URBANIZACION METROPOLITANA
309,LAS BRUJAS
15,ALTO DE MISAEL
251,LA INDEPENDENCIA
98,CAÑAVERALEJO
228,LA CASTELLANA
10,ALIADAS
222,LA CABAÑA
44,BELEN LA MOTA
6,ALCALA
81,CAMINOS DE LA ROMERIA
499,SUCRE
517,INTERMEDIA
458,SAN JAVIER
261,LA MILAGROSA
309,ABURRA SUR LOMA DE LAS BRUJAS
240,LA ESTRELLA
162,EL SALADO
292,LAS ESTANCIAS
76,SABANETA CALLE LARGA 
271,LA PRADERA
548,URBANIZACION SAN BERNARDO
229,LA CATEDRAL
441,SABANETA ASDESILLAS
413,POBLADO LOS BALSOS N 1
293,LAS FLORES
483,SANTA MARIA NO. 1
72,OCCIDENTE CALASANZ
574,VILLAGRANDE
149,MIRADOR DEL ESMERALDAL
174,EL TRIANON ENVIGADO
322,ATRAVESADO
155,EL PESEBRE
30,MADERA
421,MEDELLIN
588,ZONA INDUSTRIAL NO. 1
276,LA TABLAZA
432,QUINTAS DEL PALMAR
32,ASTURIAS
10,ALIADAS DEL SUR
74,CALDAS
213,LA ALMERIA
137,URBANIZACION EL CARMELO II ETAPA
174,ENVIGADO LA PAZ LV
486,SANTA TERESITA
354,VEREDA MARIA AUXILIADORA
235,LA CUENCA
319,EL CHOCHO
509,TIERRA FIRME
589,ZONA RURAL
374,NIQUIA
503,SURORIENTE
351,MANRIQUE CENTRAL
122,CONQUISTADORES
212,LA ESTRELLA LA ALDEA
466,SAN MIGUEL
362,MIRAFLORES
502,SUROCCIDENTE
44,BELEN RINCON
538,URBANIZACION MANESA
565,VILLA FLORA
244,FLORESTA
178,EL ESCOBERO
97,CATALUÑA
167,BALCON DEL TRIANON
293,ALTO DE LAS FLORES
532,URBANIZACION CRUCERO DEL SUR
281,LA VISITACION
2,PALMAS
388,OTRAPARTE
470,SAN REMO
185,BELEN FATIMA
3,ACEVEDO BELLO
458,SAN JAVIER NO.2
174,ENVIGADO BENEDICTINOS
584,YARUMITO
501,SURAMERICANA
303,ALMERIA LAURELES
58,BOMBONA NO.2
20,AMERICA DANUBIO
139,EL CEBADERO
310,LOMA DE LOS BALSOS
336,LOS COLORES
279,LA UNION
18,AMAGA
217,LA AZULITA
478,SANTA LUCIA
285,ANTILLAS
188,FLORENCIA
338,LOS HORIZONTES
392,ALTO DE PALMAS
300,BARRIO LAS PALMAS
427,QUEBRADA GRANDE
21,ANCON SUR
588,INDUSTRIAL
556,URIBE ANGEL
516,TRANSVERSAL INFERIOR
459,SAN JOAQUIN
211,LA AGUACATALA
413,LOS BALSOS
471,SANTA ANA
186,FERRENI
391,PALMA DE MOLLORCA
437,ROBLEDO PILARICA
297,LAS MARGARITAS
192,FUENTE CLARA
324,LOMA LINDA
433,RESTREPO NARANJO
44,BELEN ALAMEDA
255,LA LOMITAS
513,TORRES DEL SUR
96,CASTROPOL POBLADO
560,VEREDA FONTIBON RIONEGRO
308,LOMA DE LA BRUJAS
363,MIRANDA
124,CORAZON DE JESUS
303,LAURELES OCCIDENTE
484,SANTA MONICA II
174,ENVIGADO SEÑORIAL
290,LAS COMETAS
175,LA PAZ
577,VILLAS DEL CARMEN
85,CAMPO VALDES NO.2
200,ZONA INDUSTRIAL NO. 3
423,PRIMAVERA
301,LAS PLAYAS
181,ESTADIO
446,SAN ANDRES
514,TOSCANA
171,ENTRE AMIGOS
468,SAN PIO
240,ESTRELLA
491,SECTOR EURO
166,EL TRAPICHE
467,SAN PEDRO
156,PORTATON DEL POBLADO
233,LA COLINA
441,SABANETA PARQUE
57,BOMBONA NO.1
60,BOSQUES DE SAN PABLO
13,ALTAMIRA
523,TRICENTENARIO
359,MILAN VALLEJUELOS
254,LA LOMA
116,COLOMBIA
202,IRIZA
293,ALTO LAS FLORES
435,RIO NEGRO
50,BELLAVISTA
481,LOS ANGELES
234,LA CONCHA
144,EL CORAZON
463,CJ SAN MARCOS
114,COLEGIO SALVATORI
425,PUEBLO VIEJO
256,LA MACARENA
453,SAN FERNANDO
250,LA GLORIA
419,PORVENIR
383,ORENSE
283,LAS ACACIAS
409,PILSEN
140,EL CHAGUALO
60,SAN PABLO
165,EL TESORO
353,MANUEL URIBE
266,LA OSPINA
68,CABAÑITAS
524,TRINIDAD
274,LA SEBASTIANA
451,CRISTOBAL
381,OBRERO
313,LOS PARRA
312,LOMA DE LOS GONZALEZ
100,CEIBA BRUJA
487,SANTAMARIA
333,POBLADO LOMA LOS BALSOS
307,LOMA DE BENEDIGTINOS
141,CHINGUI
44,BELEN GRANADA
549,URBANIZACION SORRENTO
39,BARRIO NUEVO
289,LAS CHIMENEAS
302,LAS VEGAS
51,BELLO HORIZONTE
360,MILLA DE ORO
526,UB. ACUARELA DEL NORTE
400,PATIO BONITO
419,EL PORVENIR
583,VIZCAYA
189,FLORESTA PRADERA
173,ENTRECOLINAS
77,CALLE NUEVA
460,VEGAS DE SAN JOSE
361,MIRADOR DE GUADALCANAL
115,COLINA CAMPESTRE
441,SABANETA BARQUEREÑA
198,GUAYAQUIL
331,TORRE LOS ANGELES
381,BARRIO OBRERO
12,SAN ISIDRO
178,LOMA DEL ESCOBERO PARTE BAJA
23,ANTONIO NARIÑO
367,MONTEFRIO
580,VILLATINA
368,MONTESSORI
345,MADEROS DEL CAMPO
455,SAN GABRIEL
288,LAS CASITAS
570,VILLA NIZA
481,SANTA MARIA
273,LA SALLE
480,SANTA MARIA NO. 2
333,LOS BALSOS N2
83,CAMPO AMOR
52,LOMA DE BENEDICTINOS
419,VEREDA EL PORVENIR
272,LA RAYA
531,URBANIZACION COLINAS DEL SUR
54,BETANIA
436,RIOGRANDE HABITAT
75,CALLE DEL BANCO
236,SABANETA LA DOCTORA
232,LA CHINCA
252,LA INMACULADA 1
