neighbourhood,property_type,price,rooms,baths,area,age,garages,stratum,neighbourhood_fuzzy,property_type_Encoded,neighbourhood_Encoded
SURAMERICA,APARTAMENTO,435000000,3.0,2.0,83.0,1.0,1,4,SURAMERICA,1,501
ESCOBERO,APARTAMENTO,680000000,3.0,4.0,124.0,2.0,2,4,ESCOBERO,1,178
CASTROPOL,APARTAMENTO,900000000,3.0,3.0,111.0,1.0,2,6,CASTROPOL,1,96
TOLEDO,CASA,650000000,3.0,2.0,127.0,2.0,1,4,TOLEDO,2,511
LA PILARICA,APARTAMENTO,320000000,3.0,2.0,72.0,0.0,2,5,LA PILARICA,1,268
CALLE LARGA,APARTAMENTO,365000000,3.0,2.0,66.0,1.0,1,4,CALLE LARGA,1,76
LOMA DE LAS BRUJAS,CASA,750000000,4.0,4.0,200.0,3.0,2,5,LOMA DE LAS BRUJAS,2,309
LA CANDELARIA,APARTAMENTO,425000000,3.0,2.0,188.0,0.0,0,4,LA CANDELARIA,1,226
ESCOBERO,CASA,1420000000,3.0,3.0,255.0,1.0,7,5,ESCOBERO,2,178
LA PLAYITA,APARTAMENTO,145000000,2.0,1.0,47.0,1.0,1,3,LA PLAYITA,1,270
LAS LOMITAS,APARTAMENTO,350000000,3.0,2.0,60.0,0.0,1,4,LAS LOMITAS,1,296
CENTRO,APARTAMENTO,680000000,3.0,2.0,150.0,4.0,0,3,CENTRO,1,101
EL ESMERALDAL,APARTAMENTO,495000000,3.0,3.0,92.0,2.0,2,5,EL ESMERALDAL,1,149
FATIMA,APARTAMENTO,290000000,2.0,2.0,59.0,1.0,1,4,FATIMA,1,185
EL DORADO,APARTAMENTO,600000000,4.0,2.0,147.0,2.0,0,3,EL DORADO,1,147
ESCOBERO,APARTAMENTO,780000000,3.0,3.0,108.0,0.0,2,5,ESCOBERO,1,178
ZONA CENTRO SABANETA,APARTAMENTO,369000000,2.0,2.0,62.0,0.0,0,4,CENTRO,1,101
EL CARMELO,APARTAMENTO,200000000,2.0,1.0,49.0,4.0,0,2,EL CARMELO,1,137
CORDOBA,APARTAMENTO,300000000,3.0,2.0,75.0,0.0,0,3,CORDOBA,1,125
LAS ANTILLAS,APARTAMENTO,375000000,2.0,2.0,67.0,0.0,1,4,LAS ANTILLAS,1,285
CONJUNTO RESIDENCIAL SAN FRANSISCO,APARTAMENTO,615000000,3.0,2.0,83.0,0.0,2,4,CONJUNTO RESIDENCIAL SAN FRANSISCO,1,120
NUESTRA SEÑORA DE LOS DOLORES,APARTAMENTO,362000000,3.0,2.0,66.0,1.0,1,4,NUESTRA SEÑORA DE LOS DOLORES,1,379
ALTOS DEL POBLADO,APARTAMENTO,2500000000,4.0,5.0,295.34,2.0,3,6,ALTOS DEL POBLADO,1,17
LOMA DEL ESMERALDAL,APARTAMENTO,565000000,2.0,2.0,87.0,0.0,0,5,EL ESMERALDAL,1,149
CENTRO,APARTAMENTO,300000000,3.0,2.0,88.0,1.0,0,3,CENTRO,1,101
SANTA CATALINA,APARTAMENTO,390000000,2.0,2.0,68.0,1.0,1,3,SANTA CATALINA,1,472
MARIA AUXILIADORA,APARTAMENTO,228000000,3.0,2.0,51.0,0.0,0,3,MARIA AUXILIADORA,1,354
ABURRA SUR ALTO DE LAS PALMAS,APARTAMENTO,780000000,1.0,2.0,89.0,1.0,1,5,ABURRA SUR ALTO DE LAS PALMAS,1,2
AVES MARIA,APARTAMENTO,335000000,3.0,2.0,77.0,0.0,1,4,AVES MARIA,1,35
LAS ORQUIDEAS,CASA,2600000000,5.0,3.0,339.0,3.0,4,5,LAS ORQUIDEAS,2,299
CASTROPOL,APARTAMENTO,870000000,4.0,3.0,222.0,3.0,2,5,CASTROPOL,1,96
LOS NARANJOS,APARTAMENTO,450000000,3.0,2.0,94.0,0.0,0,3,LOS NARANJOS,1,340
COLA DEL ZORRO,CASA,2100000000,3.0,5.0,340.0,3.0,5,5,COLA DEL ZORRO,2,113
EL POBLADO,APARTAMENTO,670000000,3.0,3.0,117.0,0.0,1,6,ALTOS DEL POBLADO,1,17
PEDREGAL,CASA,315000000,4.0,2.0,120.0,1.0,0,3,PEDREGAL,2,401
ZUÑIGA,APARTAMENTO,600000000,3.0,2.0,93.0,1.0,1,5,ZUÑIGA,1,592
SAN RAFAEL,APARTAMENTO,335000000,3.0,2.0,63.0,1.0,1,4,SAN RAFAEL,1,469
ESCOBERO,CASA,979000000,5.0,5.0,220.0,3.0,1,5,ESCOBERO,2,178
LAURELES,APARTAMENTO,390000000,4.0,3.0,127.0,3.0,1,5,LAURELES,1,303
ESMERALDAL,APARTAMENTO,570000000,2.0,2.0,78.0,0.0,2,5,EL ESMERALDAL,1,149
BUENOS AIRES,APARTAMENTO,300000000,4.0,3.0,137.0,2.0,0,4,BUENOS AIRES,1,65
SAN CRISTOBAL,APARTAMENTO,145000000,2.0,1.0,45.0,1.0,1,3,SAN CRISTOBAL,1,451
SAN LUCAS,CASA,1520000000,5.0,5.0,260.0,0.0,2,6,SAN LUCAS,2,462
CASTILLA,CASA,265000000,3.0,2.0,90.0,4.0,0,3,CASTILLA,2,95
LA ALDEA,CASA,108000000,2.0,1.0,38.0,4.0,0,2,LA ALDEA,2,212
CALLE LARGA,APARTAMENTO,300000000,3.0,2.0,67.0,1.0,0,4,CALLE LARGA,1,76
LA PILARICA,APARTAMENTO,400000000,3.0,2.0,84.0,0.0,1,5,LA PILARICA,1,268
LAS LOMITAS,APARTAMENTO,390000000,3.0,2.0,72.0,0.0,1,4,LAS LOMITAS,1,296
LA FE,APARTAMENTO,348000000,1.0,1.0,45.0,0.0,1,5,LA FE,1,241
VIRGEN DEL CARMEN,APARTAMENTO,260000000,2.0,2.0,58.0,1.0,0,3,VIRGEN DEL CARMEN,1,581
EL POBLADO,APARTAMENTO,700000000,4.0,4.0,140.0,2.0,2,6,ALTOS DEL POBLADO,1,17
LOS NARANJOS,APARTAMENTO,480000000,3.0,4.0,107.0,0.0,0,6,LOS NARANJOS,1,340
SIMON BOLIVAR,APARTAMENTO,290000000,3.0,3.0,110.0,0.0,0,4,SIMON BOLIVAR,1,498
PAN DE AZUCAR,APARTAMENTO,600000000,3.0,3.0,106.0,1.0,2,4,PAN DE AZUCAR,1,393
LA DOCTORA,APARTAMENTO,320000000,3.0,2.0,63.0,1.0,1,4,LA DOCTORA,1,236
LA AMERICA,CASA,830000000,4.0,3.0,210.0,0.0,1,4,LA AMERICA,2,215
ASOMADERA NO.3,CASA,950000000,3.0,6.0,270.0,3.0,2,6,ASOMADERA NO.3,2,30
ENVIGADO,APARTAMENTO,625000000,3.0,2.0,84.0,1.0,2,4,ENVIGADO,1,174
BELEN,APARTAMENTO,395000000,3.0,2.0,82.0,3.0,1,5,BELEN,1,44
MARIA AUXILIADORA,APARTAMENTO,210000000,3.0,2.0,51.0,0.0,0,3,MARIA AUXILIADORA,1,354
BARRIO POPULAR,APARTAESTUDIO,61800000,1.0,1.0,30.0,2.0,0,2,BARRIO POPULAR,0,40
LA PILARICA,CASA,560000000,4.0,3.0,127.0,0.0,0,4,LA PILARICA,2,268
EL ROSARIO,CASA,750000000,6.0,3.0,213.0,0.0,0,4,EL ROSARIO,2,161
DITAIRES,APARTAMENTO,400000000,3.0,2.0,71.0,0.0,1,4,DITAIRES,1,129
LOMA DEL INDIO,APARTAMENTO,180000000,2.0,1.0,37.0,2.0,0,3,LOMA DEL INDIO,1,320
ZUÑIGA,APARTAMENTO,750000000,3.0,2.0,118.0,2.0,1,5,ZUÑIGA,1,592
LA MINA,CASA,4800000000,9.0,7.0,620.0,0.0,10,3,LA MINA,2,262
CASCUÑA,APARTAMENTO,740000000,3.0,4.0,137.0,2.0,2,5,CASCUÑA,1,94
LAS ANTILLAS,APARTAMENTO,370000000,3.0,2.0,75.0,2.0,1,4,LAS ANTILLAS,1,285
ROBLEDO,APARTAMENTO,155000000,2.0,1.0,53.0,2.0,0,2,ROBLEDO,1,437
SANTA MARIA DE LOS ANGELES,APARTAMENTO,880000000,3.0,3.0,125.0,0.0,0,6,SANTA MARIA DE LOS ANGELES,1,481
CALASANZ,APARTAMENTO,440000000,3.0,2.0,75.0,0.0,1,5,CALASANZ,1,72
