neighbourhood,count
CALASANZ,333
LAS LOMITAS,211
LAURELES,211
EL POBLADO,194
SURAMERICA,158
LAS PALMAS,157
ROBLEDO,143
LOMA DE LAS BRUJAS,140
ZUÑIGA,127
PAN DE AZUCAR,122
LA CANDELARIA,112
BUENOS AIRES,112
LOMA DEL INDIO,105
LA DOCTORA,103
CUMBRES,103
LOMA DEL ESCOBERO,102
LA PILARICA,102
ENVIGADO,99
SAN JOSE,99
BOSTON,95
ESCOBERO,95
AVES MARIA,94
CENTRO,90
SABANETA REAL,82
SAN DIEGO,71
DITAIRES,70
MESA,67
CAMINO VERDE,64
LAS ANTILLAS,62
SIMON BOLIVAR,62
SANTA MÓNICA,60
EL CARMELO,60
CASTROPOL,59
LOMA EL ATRAVESADO,59
EL DORADO,58
HOLANDA,56
PRADOS DE SABANETA,55
EL TRIANON,54
BELÉN,53
LOS COLORES,53
PRADO,52
LA FLORESTA,51
LA AMÉRICA,51
LA MINA,51
URBANIZACION DOÑA MARIA ROBLEDO,50
VEGAS DE LA DOCTORA,49
SANTA ROSA DE LIMA,47
LOMA DEL CHOCHO,47
MARIA AUXILIADORA,46
LOMA DE LOS BERNAL,45
LA ALDEA,45
VILLA HERMOSA,44
CALASANZ PARTE ALTA,43
LOMA DE SAN JOSE,43
LA ESTRELLA,43
SAN LUCAS,43
GUAYABAL,43
SAN GERMAN,42
LA TABLAZA,41
SANTA CATALINA,41
TRES ESQUINAS,41
EL PORTAL,39
VEREDA SAN JOSE,39
ITAGUI,39
ALTOS DEL POBLADO,39
SIMÓN BOLIVAR,39
SAN JAVIER,36
LA CASTELLANA,36
MONTEAZUL,36
LA PAZ,35
RODEO ALTO,34
CONQUISTADORES,34
ARANJUEZ,34
LOMA DEL BARRO,33
ASDESILLAS,32
VIVIENDAS DEL SUR,32
LA MILAGROSA,32
LA CUENCA,31
LA AMERICA,31
EL CHINGUI,30
EL ESMERALDAL,30
LA ABADIA,29
SAN GERMÁN,29
CAÑAVERALEJO,28
LOMA DEL ESMERALDAL,28
NAZARETH,27
LAS BRISAS,27
PALMAS,27
LOS ALCAZARES,27
SAN GABRIEL,27
EL TESORO,26
CALLE LARGA,26
LA MAGNOLIA,26
PUEBLO VIEJO,26
VEGAS DE SAN JOSE,26
LA FLORIDA,25
CASTILLA,25
SAN ANTONIO DE PRADO,25
PAJARITO,25
EL RODEO,24
SAN RAFAEL,23
LA PRADERA,23
LA FRONTERA,23
SABANETA,23
LOMA DE LOS BENEDICTINOS,23
MACHADO,22
ASOMADERA NO.2,22
LA FERRERIA,22
SANTA FE,22
SAN ANDRES,21
MIRADOR DEL ESMERALDAL,21
BELÉN SAN BERNARDO,21
LAS COMETAS,21
BENEDICTINOS,21
SANTA ANA,20
SEÑORIAL,20
BARRIO CRISTÓBAL,20
LAS BRUJAS,19
JARDINES,19
EL CHOCHO,19
LA INDEPENDENCIA,18
LOS ARIAS,18
LOS NARANJOS,18
ESTADIO,18
ZONA RURAL,18
EL SALVADOR,18
ROBLEDO LA AURORA,17
CENTRO ADMINISTRATIVO,17
BELÉN ROSALES,17
ALTO DE LAS FLORES,17
CIUDAD DEL RÍO,17
LA ALMERIA,17
FLORENCIA,16
LOS ANGELES,16
LOS BALSOS,16
LAS VEGAS,16
SAN MARCOS,16
MIRAFLORES,16
URBANIZACION MANESA,15
URBANIZACION PRADERAS DE GUAYABAL,15
SANTA MARIA DE LOS ANGELES,15
ALCALA,15
SAN MIGUEL,15
LOS BALSOS NO.2,15
EL CHAGUALO,15
MANRIQUE CENTRAL,14
FLORIDA NUEVA,14
SANTA MARÍA DE LOS ÁNGELES,14
BOSQUES DE ZUÑIGA,14
PONTEVEDRA,14
CRISTOBAL,14
SAN JOAQUIN,14
FATIMA,14
VILLA VERDE,14
EL DANUBIO,13
BELEN LA PALMA,13
ZONA CENTRO,13
PALMA DE MOLLORCA,13
MEDELLÍN,13
TRANSVERSAL INTERMEDIA,13
MANRIQUE,12
