formula,categoria,descripcion,url,sintaxis,nombreFormula,idioma
ABS,Math and trigonometry,Returns the absolute value of a number,https://support.microsoft.com/en-us/office/abs-function-3420200f-5628-4e8c-99da-c99d7c87713c,ABS(number),ABS,en-us
ACCRINT,Financial,Returns the accrued interest for a security that pays periodic interest,https://support.microsoft.com/en-us/office/accrint-function-fe45d089-6722-4fb3-9379-e1f911d8dc74,"ACCRINT(issue, first_interest, settlement, rate, par, frequency, [basis], [calc_method])",ACCRINT,en-us
ACCRINTM,Financial,Returns the accrued interest for a security that pays interest at maturity,https://support.microsoft.com/en-us/office/accrintm-function-f62f01f9-5754-4cc4-805b-0e70199328a7,"ACCRINTM(issue, settlement, rate, par, [basis])",ACCRINTM,en-us
ACOS,Math and trigonometry,Returns the arccosine of a number,https://support.microsoft.com/en-us/office/acos-function-cb73173f-d089-4582-afa1-76e5524b5d5b,ACOS(number),ACOS,en-us
ACOSH,Math and trigonometry,Returns the inverse hyperbolic cosine of a number,https://support.microsoft.com/en-us/office/acosh-function-e3992cc1-103f-4e72-9f04-624b9ef5ebfe,ACOSH(number),ACOSH,en-us
ACOT,Math and trigonometry,Returns the arccotangent of a number,https://support.microsoft.com/en-us/office/acot-function-dc7e5008-fe6b-402e-bdd6-2eea8383d905,ACOT(number),ACOT,en-us
ACOTH,Math and trigonometry,Returns the hyperbolic arccotangent of a number,https://support.microsoft.com/en-us/office/acoth-function-cc49480f-f684-4171-9fc5-73e4e852300f,ACOTH(number),ACOTH,en-us
AGGREGATE,Math and trigonometry,Returns an aggregate in a list or database,https://support.microsoft.com/en-us/office/aggregate-function-43b9278e-6aa7-4f17-92b6-e19993fa26df,"AGGREGATE(function_num, options, ref1, [ref2], …)",AGGREGATE,en-us
ADDRESS,Lookup and reference,Returns a reference as text to a single cell in a worksheet,https://support.microsoft.com/en-us/office/address-function-d0c26c0d-3991-446b-8de4-ab46431d4f89,"ADDRESS(row_num, column_num, [abs_num], [a1], [sheet_text])",ADDRESS,en-us
AMORDEGRC,Financial,Returns the depreciation for each accounting period by using a depreciation coefficient,https://support.microsoft.com/en-us/office/amordegrc-function-a14d0ca1-64a4-42eb-9b3d-b0dededf9e51,"AMORDEGRC(cost, date_purchased, first_period, salvage, period, rate, [basis])",AMORDEGRC,en-us
AMORLINC,Financial,Returns the depreciation for each accounting period,https://support.microsoft.com/en-us/office/amorlinc-function-7d417b45-f7f5-4dba-a0a5-3451a81079a8,"AMORLINC(cost, date_purchased, first_period, salvage, period, rate, [basis])",AMORLINC,en-us
AND,Logical,Returns TRUE if all of its arguments are TRUE,https://support.microsoft.com/en-us/office/and-function-5f19b2e8-e1df-4408-897a-ce285a19e9d9,"=AND(A2>1,A2<100)",AND,en-us
ARABIC,Math and trigonometry,"Converts a Roman number to Arabic, as a number",https://support.microsoft.com/en-us/office/arabic-function-9a8da418-c17b-4ef9-a657-9370a30a674f,ARABIC( text ),ARABIC,en-us
AREAS,Lookup and reference,Returns the number of areas in a reference,https://support.microsoft.com/en-us/office/areas-function-8392ba32-7a41-43b3-96b0-3695d2ec6152,AREAS(reference),AREAS,en-us
ARRAYTOTEXT,Text,Returns an array of text values from any specified range,https://support.microsoft.com/en-us/office/arraytotext-function-9cdcad46-2fa5-4c6b-ac92-14e7bc862b8b,"=ARRAYTOTEXT(A2:B4,0)",ARRAYTOTEXT,en-us
ASC,Text,Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters,https://support.microsoft.com/en-us/office/asc-function-0b6abf1c-c663-4004-a964-ebc00b723266,ASC(text),ASC,en-us
ASIN,Math and trigonometry,Returns the arcsine of a number,https://support.microsoft.com/en-us/office/asin-function-81fb95e5-6d6f-48c4-bc45-58f955c6d347,ASIN(number),ASIN,en-us
ASINH,Math and trigonometry,Returns the inverse hyperbolic sine of a number,https://support.microsoft.com/en-us/office/asinh-function-4e00475a-067a-43cf-926a-765b0249717c,ASINH(number),ASINH,en-us
ATAN,Math and trigonometry,Returns the arctangent of a number,https://support.microsoft.com/en-us/office/atan-function-50746fa8-630a-406b-81d0-4a2aed395543,ATAN(number),ATAN,en-us
ATAN2,Math and trigonometry,Returns the arctangent from x- and y-coordinates,https://support.microsoft.com/en-us/office/atan2-function-c04592ab-b9e3-4908-b428-c96b3a565033,"ATAN2(x_num, y_num)",ATAN2,en-us
ATANH,Math and trigonometry,Returns the inverse hyperbolic tangent of a number,https://support.microsoft.com/en-us/office/atanh-function-3cd65768-0de7-4f1d-b312-d01c8c930d90,ATANH(number),ATANH,en-us
AVEDEV,Statistical,Returns the average of the absolute deviations of data points from their mean,https://support.microsoft.com/en-us/office/avedev-function-58fe8d65-2a84-4dc7-8052-f3f87b5c6639,"AVEDEV(number1, [number2], ...)",AVEDEV,en-us
AVERAGE,Statistical,Returns the average of its arguments,https://support.microsoft.com/en-us/office/average-function-047bac88-d466-426c-a32b-8f33eb960cf6,"AVERAGE(number1, [number2], ...)",AVERAGE,en-us
AVERAGEA,Statistical,"Returns the average of its arguments, including numbers, text, and logical values",https://support.microsoft.com/en-us/office/averagea-function-f5f84098-d453-4f4c-bbba-3d2c66356091,"AVERAGEA(value1, [value2], ...)",AVERAGEA,en-us
