formula,categoria,descripcion,url,sintaxis,nombreFormula,idioma
AJUSTARCOLS,Buscar y hacer referencia,Ajusta por columnas la fila o columna de valores proporcionada después de un número especificado de elementos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-wrapcols-d038b05a-57b7-4ee0-be94-ded0792511e2,"=WRAPCOLS(vector, wrap_count, [pad_with])",WRAPCOLS,es-es
AJUSTARFILAS,Buscar y hacer referencia,Ajusta por columnas la fila o columna de valores proporcionada en función de las filas después de un número especificado de elementos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-wraprows-796825f3-975a-4cee-9c84-1bbddf60ade0,"=WRAPROWS(vector, wrap_count, [pad_with])",WRAPROWS,es-es
APILARH,Búsqueda y referencia,Anexa matrices de manera horizontal y en secuencia para devolver una matriz mayor.,https://support.microsoft.com/es-es/office/funci%C3%B3n-apilarh-98c4ab76-10fe-4b4f-8d5f-af1c125fe8c2,"=APILARH(matriz1,[matriz2],...)",APILARH,es-es
APILARV,Buscar y hacer referencia,Anexa matrices verticalmente y en secuencia para devolver una matriz más grande.,https://support.microsoft.com/es-es/office/funci%C3%B3n-apilarv-a4b86897-be0f-48fc-adca-fcc10d795a9c,"=APILARV(matriz1,[matriz2],...)",APILARV,es-es
ARCHIVOMAKEARRAY,Lógica,expresión LAMBDA.,https://support.microsoft.com/es-es/office/funci%C3%B3n-makearray-b80da5ad-b338-4149-a523-5b221da09097,"=MAKEARRAY(rows, cols, lambda(row, col))",MAKEARRAY,es-es
BYCOL,Lógica,a cada columna y devuelve una matriz de los resultados.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bycol-58463999-7de5-49ce-8f38-b7f7a2192bfb,"=BYCOL (matriz, lambda(columna))",BYCOL,es-es
BYROW,Lógica,a cada fila y devuelve una matriz de los resultados.,https://support.microsoft.com/es-es/office/funci%C3%B3n-byrow-2e04c677-78c8-4e6b-8c10-a4602f2602bb,"=BYROW(matriz, lambda(fila))",BYROW,es-es
DIVIDIRTEXTO,Texto,Divide las cadenas de texto mediante delimitadores de columna y fila.,https://support.microsoft.com/es-es/office/funci%C3%B3n-textsplit-b1ca414e-4c21-4ca0-b1b7-bdecace8a6e7,"=TEXTSPLIT(text,col_delimiter,[row_delimiter],[ignore_empty], [match_mode], [pad_with])",TEXTSPLIT,es-es
ELEGIRCOLS,Búsqueda y referencia,Devuelve las columnas especificadas de una matriz.,https://support.microsoft.com/es-es/office/funci%C3%B3n-elegircols-bf117976-2722-4466-9b9a-1c01ed9aebff,"=ELEGIRCOLS(matriz,col_num1,[col_num2],...)",ELEGIRCOLS,es-es
ELEGIRFILAS,Búsqueda y referencia,Devuelve las filas especificadas de una matriz.,https://support.microsoft.com/es-es/office/funci%C3%B3n-chooserows-51ace882-9bab-4a44-9625-7274ef7507a3,"=CHOOSEROWS(matriz,row_num1,[row_num2],…)",CHOOSEROWS,es-es
ENCOL,Búsqueda y referencia,Devuelve la matriz en una sola columna.,https://support.microsoft.com/es-es/office/funci%C3%B3n-tocol-22839d9b-0b55-4fc1-b4e6-2761f8f122ed,"=TOCOL(array, [ignore], [scan_by_column])",TOCOL,es-es
ENFILA,Búsqueda y referencia,Devuelve la matriz en una sola fila.,https://support.microsoft.com/es-es/office/funci%C3%B3n-torow-b90d0964-a7d9-44b7-816b-ffa5c2fe2289,"=TOROW(matriz, [ignorar], [scan_by_column])",TOROW,es-es
EXPANDIR,Búsqueda y referencia,Expande o rellena una matriz a las dimensiones de fila y columna especificadas,https://support.microsoft.com/es-es/office/funci%C3%B3n-expand-7433fba5-4ad1-41da-a904-d5d95808bc38,"=EXPANDIR(matriz, filas, [columnas], [pad_with])",EXPAND,es-es
ABS,Matemáticas y trigonometría,Devuelve el valor absoluto de un número.,https://support.microsoft.com/es-es/office/funci%C3%B3n-abs-3420200f-5628-4e8c-99da-c99d7c87713c,ABS(número),ABS,es-es
ACOS,Matemáticas y trigonometría,Devuelve el arcocoseno de un número.,https://support.microsoft.com/es-es/office/funci%C3%B3n-acos-cb73173f-d089-4582-afa1-76e5524b5d5b,ACOS(número),ACOS,es-es
ACOSH,Matemáticas y trigonometría,Devuelve el coseno hiperbólico inverso de un número.,https://support.microsoft.com/es-es/office/funci%C3%B3n-acosh-e3992cc1-103f-4e72-9f04-624b9ef5ebfe,ACOSH(número),ACOSH,es-es
ACOT,Matemáticas y trigonometría,Devuelve el arco cotangente de un número.,https://support.microsoft.com/es-es/office/acot-funci%C3%B3n-acot-dc7e5008-fe6b-402e-bdd6-2eea8383d905,ACOT(número),ACOT,es-es
ACOTH,Matemáticas y trigonometría,Devuelve el arco cotangente hiperbólico de un número.,https://support.microsoft.com/es-es/office/acoth-funci%C3%B3n-acoth-cc49480f-f684-4171-9fc5-73e4e852300f,ACOTH(número),ACOTH,es-es
AGREGAR,Matemáticas y trigonometría,Devuelve un agregado en una lista o base de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-agregar-43b9278e-6aa7-4f17-92b6-e19993fa26df,AGREGAR(núm_función; opciones; ref1; [ref2]; …),AGREGAR,es-es
