"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"af","Africa","afago","Angola",2022,5123348.999999999,18745.54182299713,5096162.999999999,27186,5123348.999999999
"af","Africa","afbwa","Botswana",2022,134938,-86.77512777666159,-885397.0000000001,1020335.0000000001,134938
"af","Africa","afciv","Cote d'Ivoire",2022,186464,1025.039218052371,169890,16574,186464
"af","Africa","afcmr","Cameroon",2022,81250,1470.3517587939698,76076,5174,81250
"af","Africa","afcod","Democratic Republic of the Congo",2022,258835.00000000003,42.91748569914086,77727.00000000003,181108,258835.00000000003
"af","Africa","afcpv","Cape Verde",2022,1231959,639.8442191741334,1065443,166516,1231959
"af","Africa","afdza","Algeria",2022,146510,94422.58064516129,146355,155,146510
"af","Africa","afegy","Egypt",2022,41187677,5167.350305584934,40405734,781943,41187677
"af","Africa","afeth","Ethiopia",2022,26747413,1344666.86777275,26745424,1989,26747413
"af","Africa","afgab","Gabon",2022,15295,-95.07159796870569,-295049,310344,15295
"af","Africa","afgha","Ghana",2022,671866,2259.328580960073,643389,28477,671866
"af","Africa","afgin","Guinea",2022,1831,433.81924198250726,1488,343,1831
"af","Africa","afken","Kenya",2022,845033,1363.970409895707,787311,57722,845033
"af","Africa","aflby","Libya",2022,393152,5110.07156109197,385606,7546,393152
"af","Africa","aflso","Lesotho",2022,46185,8.306169828576788,3542,42643,46185
"af","Africa","afmar","Morocco",2022,14067717,1246.88256667289,13023252,1044465,14067717
"af","Africa","afmdg","Madagascar",2022,40891,-77.22178277387226,-138627,179518,40891
"af","Africa","afmli","Mali",2022,115093,1065.8529173419772,105221,9872,115093
"af","Africa","afmoz","Mozambique",2022,18283,-37.063683304647164,-10767,29050,18283
"af","Africa","afmrt","Mauritania",2022,23166.999999999996,2.4317990891807053,550,22616.999999999996,23166.999999999996
"af","Africa","afmus","Mauritius",2022,27623124,1522.0301034000647,25920127,1702997,27623124
"af","Africa","afnam","Namibia",2022,451466,1376.9235802146036,420898,30568,451466
"af","Africa","afnga","Nigeria",2022,427689,3695.9439069850005,416422,11267,427689
"af","Africa","afsdn","Sudan",2022,230704,-42.04334489766695,-167359,398063,230704
"af","Africa","afsen","Senegal",2022,97444,-83.92299722161727,-508664,606108,97444
"af","Africa","afsle","Sierra Leone",2022,78120,272.79885468861846,57165,20955,78120
"af","Africa","afsyc","Seychelles",2022,2721612,770.4534551246378,2408946,312666,2721612
"af","Africa","aftgo","Togo",2022,1588,-96.30534422186547,-41393,42981,1588
"af","Africa","aftun","Tunisia",2022,1275316,5058.419285685394,1250593,24723,1275316
"af","Africa","aftza","Tanzania",2022,418406.99999999994,2871.8516940123586,404327.99999999994,14079,418406.99999999994
"af","Africa","afuga","Uganda",2022,59831,-64.2165511384365,-107372,167203,59831
"af","Africa","afzaf","South Africa",2022,35958517,1190.1837224196606,33171432,2787085,35958517
"af","Africa","afzmb","Zambia",2022,165366,178.9669017173319,106088,59278,165366
"af","Africa","afzwe","Zimbabwe",2022,540482,437.1196311092561,439856,100626,540482
"as","Asia","asare","United Arab Emirates",2022,1366384131,2524.2478962031837,1314316484,52067647,1366384131
"as","Asia","asarm","Armenia",2022,65218355,82641.30953287154,65139533,78822,65218355
"as","Asia","asaze","Azerbaijan",2022,19715863,2750.2664372867634,19024143,691720,19715863
"as","Asia","asbgd","Bangladesh",2022,40827808,-43.80723671998265,-31828893,72656701,40827808
"as","Asia","asbhr","Bahrain",2022,2471533,118.22457715413874,1338969,1132564,2471533
"as","Asia","asbrn","Brunei",2022,1200996,4539.020433388698,1175107,25889,1200996
"as","Asia","asbtn","Bhutan",2022,4569471,4998.717920107119,4479851,89620,4569471
"as","Asia","aschn","China",2022,1634851936,33.35708952252735,408931408,1225920528,1634851936
"as","Asia","ascyp","Cyprus",2022,24305464,1796.4538044220355,23023837,1281627,24305464
"as","Asia","asgeo","Georgia",2022,32141939,387.218397857581,25544910,6597029,32141939
"as","Asia","ashkg","Hong Kong",2022,1140051691,4830.3289227918685,1116928453,23123238,1140051691
"as","Asia","asidn","Indonesia",2022,190111271,7120.620009768719,187478377,2632894,190111271
"as","Asia","asind","India",2022,91187417,458.96299160514207,74873740,16313677,91187417
"as","Asia","asirq","Iraq",2022,4079325,1447.907702115065,3815787,263538,4079325
"as","Asia","asisr","Israel",2022,1237728899,14145.627217087263,1229040416,8688483,1237728899
"as","Asia","asjor","Jordan",2022,462329345,646.2081578794249,400372190,61957155,462329345
"as","Asia","asjpn","Japan",2022,1003959908,1467.653121597606,939917685,64042223,1003959908
"as","Asia","askaz","Kazakhstan",2022,39694720,1765.6804035669786,37567093,2127627,39694720
"as","Asia","askgz","Kyrgyzstan",2022,46654596,95370.64745845951,46605728,48868,46654596
"as","Asia","askhm","Cambodia",2022,10967874,9019.073116384256,10847600,120274,10967874
"as","Asia","askor","South Korea",2022,2087052258,813.1356857826435,1858493426,228558832,2087052258
"as","Asia","askwt","Kuwait",2022,24645700,978.4052045520579,22360316,2285384,24645700
