Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Arable land (hectares),AG.LND.ARBL.HA,Afghanistan,AFG,7910000,7683000,7765000,7729000,7699000,7794000,7788000,7829000,7829000,7810000,7846000,..
Arable land (hectares),AG.LND.ARBL.HA,Albania,ALB,579000,578000,615100,620300,612000,611346,610000,599600,599900,598100,590700,..
Arable land (hectares),AG.LND.ARBL.HA,Algeria,DZA,7081000,7662000,7462100,7404200,7470807.1,7500703.6,7531000,7531000,7531000,7531000,7531000,..
Arable land (hectares),AG.LND.ARBL.HA,American Samoa,ASM,640,760,910,920,930,940,950,960,970,970,1030,..
Arable land (hectares),AG.LND.ARBL.HA,Andorra,AND,1000,1000,810,820,820,824.5,791.1,768.9,747.6,747.6,732.5,..
Arable land (hectares),AG.LND.ARBL.HA,Angola,AGO,2900000,3000000,5125000,5347000,5345000,5343000,5342000,5340000,5348000,5385000,5385000,..
Arable land (hectares),AG.LND.ARBL.HA,Antigua and Barbuda,ATG,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,..
Arable land (hectares),AG.LND.ARBL.HA,Argentina,ARG,26575000,27640000,40353234.6,40033679.5,40375486.3,40181000,40850000,41930000,42229000,43099000,40387343.1,..
Arable land (hectares),AG.LND.ARBL.HA,Armenia,ARM,..,450000,446700,446400,446000,445600,444800,444000,443420,442730,441600,..
Arable land (hectares),AG.LND.ARBL.HA,Aruba,ABW,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,..
Arable land (hectares),AG.LND.ARBL.HA,Australia,AUS,16956000,23473000,31090700,30057000,30752000,30974000,30573000,30644000,31265000,31265000,30989678.2,..
Arable land (hectares),AG.LND.ARBL.HA,Austria,AUT,1426000,1399000,1346100,1344490,1328940,1327150,1325530,1324971.4,1322921.3,1320593,1321781.6,..
Arable land (hectares),AG.LND.ARBL.HA,Azerbaijan,AZE,..,1825600,1937700,1999000,2094500,2097900,2096000,2084300,2089000,2091900,2091700,..
Arable land (hectares),AG.LND.ARBL.HA,"Bahamas, The",BHS,7000,7000,8000,8000,8000,8000,8000,8000,8000,8000,8000,..
Arable land (hectares),AG.LND.ARBL.HA,Bahrain,BHR,2000,2010,2080,2090,2090,2100,2100,2100,2100,2100,2100,..
Arable land (hectares),AG.LND.ARBL.HA,Bangladesh,BGD,9456000,8350000,7762240,7794210,7787330,7772300,7857000,7890000,7874100,7917700,7880400,..
Arable land (hectares),AG.LND.ARBL.HA,Barbados,BRB,16000,15000,8000,7000,7000,7000,7000,7000,7000,7000,7000,..
Arable land (hectares),AG.LND.ARBL.HA,Belarus,BLR,..,6133000,5677400,5683800,5727000,5712000,5713000,5660000,5624000,5606000,5567800,..
Arable land (hectares),AG.LND.ARBL.HA,Belgium,BEL,..,862000,829500,849400,836000,850000,857286,864876.6,865640,863550,863153.6,..
Arable land (hectares),AG.LND.ARBL.HA,Belize,BLZ,52000,64000,88000,88000,90000,90000,92000,98000,100000,100000,100000,..
Arable land (hectares),AG.LND.ARBL.HA,Benin,BEN,1615000,2380000,2700000,2800000,2993576.9,3415720.6,3537982.4,3331258.6,3486914.5,3545952.3,3545952.3,..
Arable land (hectares),AG.LND.ARBL.HA,Bermuda,BMU,300,400,300,300,300,300,300,300,300,300,300,..
Arable land (hectares),AG.LND.ARBL.HA,Bhutan,BTN,135000,154000,100200,100000,94500,94000,94000,95500,97000,98500,100000,..
Arable land (hectares),AG.LND.ARBL.HA,Bolivia,BOL,2100000,3144000,4976000,4836000,4693000,4951549,5251635.6,5275212,5403410.2,5562567.6,5562567.6,..
Arable land (hectares),AG.LND.ARBL.HA,Bosnia and Herzegovina,BIH,..,1000000,1022000,1026000,1060000,1029000,1015000,1015000,1008000,377000,370000,..
Arable land (hectares),AG.LND.ARBL.HA,Botswana,BWA,420000,350000,259600,259600,259600,259600,260000,260000,260000,260000,260000,..
Arable land (hectares),AG.LND.ARBL.HA,Brazil,BRA,47340000,45448000,54518000,55140000,55762000,55738000,55714000,55690000,55666000,55642000,55642000,..
Arable land (hectares),AG.LND.ARBL.HA,British Virgin Islands,VGB,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,..
Arable land (hectares),AG.LND.ARBL.HA,Brunei Darussalam,BRN,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,..
Arable land (hectares),AG.LND.ARBL.HA,Bulgaria,BGR,3856000,3526000,3509700,3496000,3489080,3478000,3476000,3492000,3500000,3468000,3486550,..
Arable land (hectares),AG.LND.ARBL.HA,Burkina Faso,BFA,3880813.3,5139118.1,7026575.3,7152405.8,7278236.3,7404066.7,7529897.2,7655727.7,7781558.2,7907388.7,7907388.7,..
Arable land (hectares),AG.LND.ARBL.HA,Burundi,BDI,930000,960000,1108000,1135000,1162000,1189000,1216000,1243000,1270000,1293508.5,1321206.8,..
Arable land (hectares),AG.LND.ARBL.HA,Cabo Verde,CPV,41000,44000,50000,50000,50000,50000,50000,50000,50000,50000,50000,..
Arable land (hectares),AG.LND.ARBL.HA,Cambodia,KHM,3695000,3700000,3941628,3971380,4001131.9,4030883.8,4060635.8,4090387.7,4120139.7,4120139.7,4120139.7,..
Arable land (hectares),AG.LND.ARBL.HA,Cameroon,CMR,5940000,5960000,6200000,6200000,6200000,6200000,6200000,6200000,6200000,6200000,6200000,..
Arable land (hectares),AG.LND.ARBL.HA,Canada,CAN,41367000,40971000,38282000,38530000,38509000,38690000,38648000,38235000,38259000,38346000,38151000,..
Arable land (hectares),AG.LND.ARBL.HA,Cayman Islands,CYM,200,200,200,200,200,200,200,200,200,200,200,..
Arable land (hectares),AG.LND.ARBL.HA,Central African Republic,CAF,1870000,1870000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,..
Arable land (hectares),AG.LND.ARBL.HA,Chad,TCD,3273000,3600000,5200000,5300000,5300000,5300000,5300000,5300000,5300000,5300000,5300000,..
Arable land (hectares),AG.LND.ARBL.HA,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Chile,CHL,2802000,1750000,1493371.4,1470592.9,1503214.3,1454935.7,1399225.9,1374905,1499105,1296900,1406900,..
Arable land (hectares),AG.LND.ARBL.HA,China,CHN,123800000,119040000,114870800,113452000,111634000,110486000,108942800,108804600,108965000,108561100,108427100,..
Arable land (hectares),AG.LND.ARBL.HA,Colombia,COL,3305000,2818000,1560179,1681646,1780868,2235883,2315916,2344433.7,2396733.3,2452700,2549300,..
Arable land (hectares),AG.LND.ARBL.HA,Comoros,COM,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,..
