"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","city","verified","photos","state","description"
"0x8e4682778b3a1207:0xcfa3dccd15117421","+573022857119","RESTAURANTE Hao Yun Lai Chino","RESTAURANTE Hao Yun Lai Chino, Cl. 2 Sur #51 A 28, Guayabal, Medelln, Guayabal, Medelln, Antioquia, Colombia","6.2063581999999995","-75.585019","81","3.5","America/Bogota","","ChIJBxI6i3eCRo4RIXQRFc3co88","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e4682778b3a1207:0xcfa3dccd15117421","Chinese restaurant","","11AM10PM","11AM10PM","11AM10PM","11AM10PM","11AM10PM","11AM10PM","11AM10PM","Medellin, Antioquia, Colombia","false","https://lh5.googleusercontent.com/p/AF1QipME3M5gSp0YYbgOgUgXf-Mzb1sFUal1AHZtX5Ig=w203-h152-k-no","Open  Closes 10PM",""
"0x8e46826e187b6393:0x3b71cc478f1650d2","+576042555993","RESTAURANTE HOU WAH","RESTAURANTE HOU WAH, Cra. 52 #12 a Sur 31, Guayabal, Medelln, Guayabal, Medelln, Antioquia, Colombia","6.1969331","-75.5903039","352","4.2","America/Bogota","https://instagram.com/restaurante_houwah?igshid=60o634nvqp3m","ChIJk2N7GG6CRo4R0lAWj0fMcTs","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e46826e187b6393:0x3b71cc478f1650d2","Chinese restaurant","$","10AM9PM","10AM9PM","10AM9PM","10AM9PM","10AM9PM","10AM9PM","10AM9PM","Medellin, Antioquia, Colombia","true","https://lh5.googleusercontent.com/p/AF1QipMeTKLN5j3DWc9X7l3PP_aaZfEiZUaa8avvGFEb=w203-h270-k-no","Open  Closes 9PM",""
"0x8e4683788df68a55:0x2f286fc2158dd50c","+573228853007","Restaurante Bien Chino","Restaurante Bien Chino, Cra. 52 #80 -10, Santa Maria, Itagi, Medelln, Antioquia, Colombia","6.1885717","-75.59344759999999","73","3.8","America/Bogota","","ChIJVYr2jXiDRo4RDNWNFcJvKC8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e4683788df68a55:0x2f286fc2158dd50c","Chinese restaurant","","11AM9PM","11AM9PM","11AM9PM","11AM9PM","11AM9PM","11AM9PM","11AM9PM","Medellin, Antioquia, Colombia","true","https://lh5.googleusercontent.com/p/AF1QipO8MoZpj7ryrPOkg97yW8ISie079UO3JKr24rIY=w203-h170-k-no","Open  Closes 9PM",""
"0x8e46824040b83c21:0x465d7fe91ec6e4a6","+573192088433","Restaurante Gan Ten","Restaurante Gan Ten, Cra. 52 #75-77, Santa Maria II, Itagi, Medelln, Antioquia, Colombia","6.1859484","-75.5957514","424","4","America/Bogota","","ChIJITy4QECCRo4RpuTGHul_XUY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e46824040b83c21:0x465d7fe91ec6e4a6","Chinese restaurant","$","11AM9PM","11AM9PM","11AM9PM","11AM9PM","11AM9PM","11AM9PM","11AM9PM","Medellin, Antioquia, Colombia","true","https://lh5.googleusercontent.com/p/AF1QipNeMhc3Ul2HLkOTN1YTkCGbCe92WX3RgHNizsOU=w203-h152-k-no","Open  Closes 9PM",""
"0x8e46826abef11a5d:0xe60e2018a9e59cd4","","TAI WAN","TAI WAN, Cra. 52D #77-90, Santa Maria II, Itagi, Antioquia, Colombia","6.188394199999999","-75.5961694","46","3.6","America/Bogota","","ChIJXRrxvmqCRo4R1JzlqRggDuY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e46826abef11a5d:0xe60e2018a9e59cd4","Chinese restaurant","","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","Itag, Antioquia, Colombia","false","https://lh5.googleusercontent.com/p/AF1QipPlJcGKbRGYDZANFzM4nG9t717vL_B0g0xNCIc5=w203-h270-k-no","Open  Closes 10PM",""
"0x8e46830001381d79:0xe524c89b3c699720","+576043018557","La estrella del dragon","La estrella del dragon, Cra. 52D #80-81, Villa Central, Itagi, Antioquia, Colombia","6.1897215","-75.5951888","2","5","America/Bogota","","ChIJeR04AQCDRo4RIJdpPJvIJOU","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e46830001381d79:0xe524c89b3c699720","Chinese restaurant","","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","Itag, Antioquia, Colombia","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ayCmTM8L3yfKv6yV9558wA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=307.30197&pitch=0&thumbfov=100","Open  Closes 10PM",""
"0x8e4683baa6280309:0x8804b3ca96f4f6f7","+573053955364","Restaurante Chino Fortuna china Itag","Restaurante Chino Fortuna china Itag, Cl. 75 #11 52, Santa Maria II, Itagi, Antioquia, Colombia","6.1852361","-75.5963621","17","1.2","America/Bogota","","ChIJCQMoprqDRo4R9_b0lsqzBIg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e4683baa6280309:0x8804b3ca96f4f6f7","Restaurant","","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","10AM10PM","Itag, Antioquia, Colombia","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qNh4-ErUc7BKhayL9AVt4Q&cb_client=search.gws-prod.gps&w=203&h=100&yaw=249.1901&pitch=0&thumbfov=100","Open  Closes 10PM",""
"0x8e46834da69d1be7:0x586a65eac3fe5375","","Arroz chino Itag","Arroz chino Itag, Cra. 52 #75-77, Santa Maria II, Itagi, Medelln, Antioquia, Colombia","6.1858064","-75.5959063","6","4.3","America/Bogota","","ChIJ5xudpk2DRo4RdVP-w-plalg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e46834da69d1be7:0x586a65eac3fe5375","Chinese restaurant","","","","","","","","","Medellin, Antioquia, Colombia","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AFFCsje9UGVnbR62ZXtgJA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=298.18454&pitch=0&thumbfov=100","",""
"0x8e4429d36270e6d7:0x2a92ad1284134018","","Importelo De China","Importelo De China, El Poblado, Medelln, El Poblado, Medelln, Antioquia, Colombia","6.2125058","-75.5760063","","","America/Bogota","","ChIJ1-ZwYtMpRI4RGEAThBKtkio","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e4429d36270e6d7:0x2a92ad1284134018","Restaurant","","","","","","","","","Medellin, Antioquia, Colombia","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YBC2thmi4NkE0OnNFpzKOQ&cb_client=search.gws-prod.gps&w=203&h=100&yaw=259.62314&pitch=0&thumbfov=100","",""
"0x8e468262aaf479ad:0x44398a8a71bf3d93","","ASIAWOK","ASIAWOK, L 4043, El Poblado #7SUR170, El Poblado, Medelln, Antioquia, Colombia","6.196852","-75.5743513","39","2.5","America/Bogota","","ChIJrXn0qmKCRo4Rkz2_cYqKOUQ","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x8e468262aaf479ad:0x44398a8a71bf3d93","Chinese restaurant","","129PM","129PM","129PM","129PM","129PM","129PM","129PM","Medellin, Antioquia, Colombia","false","https://lh5.googleusercontent.com/p/AF1QipNYL_fWOdHbmGYAcOIvtyzxK3rWB2NUv1TtC89k=w203-h270-k-no","Open  Closes 9PM",""
