show_id,name,image,genres,language,type,status,premiered,avg_runtime_minutes,rating,platform,seasons_count,episodes_count,cast,summary
1,Under the Dome,https://static.tvmaze.com/uploads/images/medium_portrait/610/1525272.jpg,"Drama, Science-Fiction, Thriller",English,Scripted,Ended,2013-06-24,60,6.6,CBS,3,39,"Mike Vogel, Rachelle Lefevre, Alexander Koch, Colin Ford, Mackenzie Lintz, Dean Norris, Eddie Cahill, Nicholas Strong, Britt Robertson, Aisha Hinds, Natalie Martinez, Karla Crome, Kylie Bunbury, Jolene Purdy, Jeff Fahey","Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away."
2,Person of Interest,https://static.tvmaze.com/uploads/images/medium_portrait/163/407679.jpg,"Action, Crime, Science-Fiction",English,Scripted,Ended,2011-09-22,60,8.8,CBS,5,103,"Jim Caviezel, Michael Emerson, Kevin Chapman, Taraji P. Henson, Amy Acker, Sarah Shahi, Amy Acker","You are being watched. The government has a secret system, a machine that spies on you every hour of every day. I know because I built it. I designed the Machine to detect acts of terror but it sees everything. Violent crimes involving ordinary people. People like you. Crimes the government considered ""irrelevant"". They wouldn't act so I decided I would. But I needed a partner. Someone with the skills to intervene. Hunted by the authorities, we work in secret. You'll never find us. But victim or perpetrator, if your number is up, we'll find you."
3,Bitten,https://static.tvmaze.com/uploads/images/medium_portrait/0/15.jpg,"Drama, Horror, Romance",English,Scripted,Ended,2014-01-11,60,7.4,CTV Sci-Fi Channel,3,33,"Laura Vandervoort, Greyston Holt, Greg Bryk, Steve Lund, Michael Xavier, Paul Greene","Based on the critically acclaimed series of novels from Kelley Armstrong. Set in Toronto and upper New York State, Bitten follows the adventures of 28-year-old Elena Michaels, the world's only female werewolf. An orphan, Elena thought she finally found her ""happily ever after"" with her new love Clayton, until her life changed forever. With one small bite, the normal life she craved was taken away and she was left to survive life with the Pack."
4,Arrow,https://static.tvmaze.com/uploads/images/medium_portrait/143/358967.jpg,"Drama, Action, Science-Fiction",English,Scripted,Ended,2012-10-10,60,7.4,The CW,8,170,"Stephen Amell, David Ramsey, Emily Bett Rickards, Willa Holland, Paul Blackthorne, Katie Cassidy, Echo Kellum, Colton Haynes, Rick Gonzalez, Juliana Harkavy, John Barrowman, Katie Cassidy, Susanna Thompson, Manu Bennett, Colin Donnell, Kirk Acevedo, Josh Segarra, Ben Lewis, Katherine McNamara, Joseph David-Jones, Sea Shimooka, LaMonica Garrett, Rick Gonzalez, Juliana Harkavy, LaMonica Garrett","After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime."
5,True Detective,https://static.tvmaze.com/uploads/images/medium_portrait/490/1226764.jpg,"Drama, Crime, Thriller",English,Scripted,Running,2014-01-12,63,8.1,HBO,5,30,"Michelle Monaghan, Michael Potts, Tory Kittles, Colin Farrell, Vince Vaughn, Matthew McConaughey, Woody Harrelson, Taylor Kitsch, Rachel McAdams, Kelly Reilly, Mahershala Ali, Carmen Ejogo, Stephen Dorff, Scoot McNairy, Ray Fisher, Jodie Foster, Kali Reis, Finn Bennett, Isabella LaBlanc, John Hawkes, Fiona Shaw, Christopher Eccleston",Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.True Detective is an American anthology crime drama television series created and written by Nic Pizzolatto.
6,The 100,https://static.tvmaze.com/uploads/images/medium_portrait/477/1194981.jpg,"Action, Adventure, Science-Fiction",English,Scripted,Ended,2014-03-19,60,7.7,The CW,7,100,"Eliza Taylor, Marie Avgeropoulos, Bob Morley, Lindsey Morgan, Richard Harmon, Paige Turco, Henry Ian Cusick, Christopher Larkin, Tasya Teles, Isaiah Washington, Devon Bostick, Ricky Whittle, Thomas McDonell, Chuku Modu, JR Bourne, Shannon Kook, Zach McGowan, Shelby Flannery, Eli Goree, Kelly Hu","Ninety-seven years ago, nuclear Armageddon decimated planet Earth, destroying civilization. The only survivors were the 400 inhabitants of 12 international space stations that were in orbit at the time. Three generations have been born in space, the survivors now number 4,000, and resources are running out on their dying ""Ark"" - the 12 stations now linked together and repurposed to keep the survivors alive. Draconian measures including capital punishment and population control are the order of the day, as the leaders of the Ark take ruthless steps to ensure their future, including secretly exiling a group of 100 juvenile prisoners to the Earth's surface to test whether it's habitable."
7,Homeland,https://static.tvmaze.com/uploads/images/medium_portrait/498/1245275.jpg,"Drama, Thriller, Espionage",English,Scripted,Ended,2011-10-02,60,8.2,Paramount+ with Showtime,8,96,"Claire Danes, Mandy Patinkin, Rupert Friend, Maury Sterling, F. Murray Abraham, Damian Lewis, Morena Baccarin, Morgan Saylor, Jackson Pace, David Harewood, Elizabeth Marvel, Linus Roache, Diego Klattenhoff, Nimrat Kaur, Tracy Letts, Sarita Choudhury, Costa Ronin, David Marciano, Navid Negahban, Nazanin Boniadi, Numan Acar, Jamey Sheridan, Miranda Otto, Sebastian Koch, Jake Weber, Sarah Sokolovic, Alexander Fehling, Laila Robins, Morgan Spector","The winner of 6 Emmy Awards including Outstanding Drama Series, Homeland is an edge-of-your-seat sensation. Marine Sergeant Nicholas Brody is both a decorated hero and a serious threat. CIA officer Carrie Mathison is tops in her field despite being bipolar. The delicate dance these two complex characters perform, built on lies, suspicion, and desire, is at the heart of this gripping, emotional thriller in which nothing short of the fate of our nation is at stake."
8,Glee,https://static.tvmaze.com/uploads/images/medium_portrait/0/73.jpg,"Drama, Music, Romance",English,Scripted,Ended,2009-05-19,60,6.6,FOX,6,121,"Lea Michele, Chris Colfer, Kevin McHale, Matthew Morrison, Jane Lynch, Jenna Ushkowitz, Naya Rivera, Amber Riley, Heather Morris, Mark Salling, Darren Criss, Chord Overstreet, Cory Monteith, Dianna Agron, Jayma Mays, Harry Shum Jr, Dot-Marie Jones, Becca Tobin, Mike O'Malley, Jessalyn Gilsig, Alex Newell, Jacob Artist, Melissa Benoist, Blake Jenner","Glee is a musical comedy about a group of ambitious and talented young adults in search of strength, acceptance and, ultimately, their voice."
9,Revenge,https://static.tvmaze.com/uploads/images/medium_portrait/82/206879.jpg,"Drama, Thriller, Mystery",English,Scripted,Ended,2011-09-21,60,7.7,ABC,4,89,"Emily VanCamp, Gabriel Mann, Nick Wechsler, Madeleine Stowe, Josh Bowman, Christa B. Allen, Henry Czerny, Ashley Madekwe, James Tupper, Barry Sloane, Connor Paolo, Karine Vanasse, Brian Hallisay, Elena Satine","This is not a story about forgiveness; Revenge is a show about retribution. Meet Emily Thorne, the newest resident of The Hamptons. When she was a little girl (and known as Amanda Clarke) her father, David Clarke, was framed for a horrific crime and subsequently sent to prison. While serving his time, the conspirators plotted and murdered David in order to prevent the truth from coming out. Emily is now back with a new identity and ready to take vengeance on the people that murdered her father and stole her childhood."
10,Grimm,https://static.tvmaze.com/uploads/images/medium_portrait/69/174906.jpg,"Drama, Crime, Supernatural",English,Scripted,Ended,2011-10-28,60,8.4,NBC,6,123,"David Giuntoli, Silas Weir Mitchell, Sasha Roiz, Russell Hornsby, Reggie Lee, Elizabeth Tulloch, Bree Turner, Claire Coffee","Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm."
