origen,destino,valor,color
Search advertising,Ad Revenue,54.0,"rgba(66, 134, 241,0.4)"
YouTube,Ad Revenue,10.5,"rgba(66, 134, 241,0.4)"
Google AdMob,Ad Revenue,8.0,"rgba(66, 134, 241,0.4)"
Ad Revenue,Revenue,72.5,"rgba(66, 134, 241,0.4)"
Google Play,Revenue,11.6,"rgba(249, 190, 6,0.4)"
Google Cloud,Revenue,12.0,"rgba(249, 190, 6,0.4)"
Other (Revenue Source),Revenue,0.4,"rgba(66, 134, 241,0.4)"
Revenue,Gross profit,55.9,"rgba(43, 160, 45,0.4)"
Revenue,Cost of revenues,40.6,"rgba(204, 0, 1,0.4)"
Cost of revenues,TAC,14.8,"rgba(204, 0, 1,0.4)"
Cost of revenues,Other (CoR),25.8,"rgba(204, 0, 1,0.4)"
Gross profit,Operating profit,31.0,"rgba(43, 160, 45,0.4)"
Gross profit,Operating expenses,24.9,"rgba(204, 0, 1,0.4)"
Operating expenses,R&D,13.1,"rgba(204, 0, 1,0.4)"
Operating expenses,S&M,7.4,"rgba(204, 0, 1,0.4)"
Operating expenses,G&A,4.4,"rgba(204, 0, 1,0.4)"
Operating profit,Pre-Tax Profit,31.0,"rgba(43, 160, 45,0.4)"
Other Income,Pre-Tax Profit,1.3,"rgba(43, 160, 45,0.4)"
Pre-Tax Profit,Net profit,26.5,"rgba(43, 160, 45,0.4)"
Pre-Tax Profit,Tax,5.7,"rgba(204, 0, 1,0.4)"
