Two_Letter_Country_Code,Country,Continent_Name,Most_Recent_Year,Arable_land_percent_recent,Arable Land (% of land area),Most_Recent_Year_hectares,Hectares_Change_5yr,percent_change_5yr
AD,Andorra,Europe,2023,1.55851063829787,"[2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 2.12765957446809, 1.59574468085106, 1.80851063829787, 1.82978723404255, 1.72340425531915, 1.70212765957447, 1.65957446808511, 1.63829787234043, 1.61702127659574, 1.63829787234043, 1.63829787234043, 1.63829787234043, 1.61702127659574, 1.72340425531915, 1.70212765957447, 1.72340425531915, 1.74468085106383, 1.74468085106383, 1.75425531914894, 1.6831914893617, 1.63595744680851, 1.59063829787234, 1.59063829787234, 1.55851063829787]",732.5,-92.0,-0.11158277744087326
AE,United Arab Emirates,Asia,2023,0.709433962264151,"[0.070402703463813, 0.070402703463813, 0.070402703463813, 0.070402703463813, 0.070402703463813, 0.0844832441565756, 0.0844832441565756, 0.0844832441565756, 0.0844832441565756, 0.0985637848493382, 0.0985637848493382, 0.0985637848493382, 0.112644325542101, 0.126724866234863, 0.154885947620389, 0.154885947620389, 0.168966488313151, 0.168966488313151, 0.168966488313151, 0.225288651084202, 0.267530273162489, 0.253449732469727, 0.32385243593354, 0.337932976626302, 0.366094058011828, 0.408335680090115, 0.408335680090115, 0.408335680090115, 0.408335680090115, 0.492818924246691, 0.492818924246691, 0.535060546324979, 0.563221627710504, 0.591382709096029, 0.605463249788792, 0.64770487186708, 0.633624331174317, 0.506899464939454, 0.605463249788792, 0.844832441565756, 0.999718389186145, 1.0560405519572, 0.901154604336806, 0.887074063644044, 0.957476767107857, 0.712475359053788, 0.627992114897212, 0.72655589974655, 0.702618980568854, 0.712475359053788, 0.635032385243593, 0.522388059701493, 0.528020275978598, 0.619543790481555, 0.620951844550831, 0.626584060827936, 0.626584060827936, 0.595606871303858, 0.702618980568854, 0.689946493945367, 0.708251196845959, 0.709433962264151, 0.709433962264151]",50384.0,8084.0,0.19111111111111112
AF,Afghanistan,Asia,2023,12.0294987964368,"[11.7289913067476, 11.8056513806479, 11.8823114545482, 11.9589715284486, 11.9589715284486, 12.0126335801788, 12.0264323934808, 12.0264323934808, 12.0509636171289, 12.066295631909, 12.1122916762492, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 12.1276236910292, 11.9957683639207, 11.810250985082, 11.7335909111816, 11.7243917023136, 11.7826533584778, 11.8930438648943, 11.7335909111816, 11.7795869555218, 11.7795869555218, 11.7719209481318, 11.9160418870644, 11.9835027520967, 11.9666375358386, 11.9497723195805, 11.9497723195805, 11.9497723195805, 11.9482391181025, 11.9482391181025, 11.9451727151465, 11.9436395136685, 11.9359735062785, 11.9145086855864, 11.9053094767183, 11.8501142235101, 11.8041181791699, 11.9497723195805, 11.9405731107125, 12.0034343713107, 12.0034343713107, 11.9743035432286, 12.0294987964368]",7846000.0,52000.0,0.006671798819604825
AG,Antigua and Barbuda,North America,2023,9.09090909090909,"[18.1818181818182, 15.9090909090909, 15.9090909090909, 15.9090909090909, 13.6363636363636, 13.6363636363636, 13.6363636363636, 13.6363636363636, 13.6363636363636, 13.6363636363636, 13.6363636363636, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 11.3636363636364, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909, 9.09090909090909]",4000.0,0.0,0.0
AL,Albania,Europe,2023,21.5583941605839,"[15.7664233576642, 15.9124087591241, 16.0583941605839, 16.1678832116788, 16.7883211678832, 17.3357664233577, 17.8102189781022, 18.2481751824818, 18.6131386861314, 19.014598540146, 19.3430656934307, 19.7080291970803, 20.0, 20.3284671532847, 20.5474452554745, 20.985401459854, 21.1678832116788, 21.2773722627737, 21.2773722627737, 21.3503649635036, 21.4598540145985, 21.4963503649635, 21.4963503649635, 21.4963503649635, 21.4963503649635, 21.4963503649635, 21.5328467153285, 21.5328467153285, 21.2408759124088, 21.1313868613139, 21.0948905109489, 21.0948905109489, 21.0583941605839, 21.0583941605839, 21.0583941605839, 21.0583941605839, 21.0948905109489, 21.0583941605839, 21.0583941605839, 21.0948905109489, 21.0948905109489, 21.0948905109489, 21.0948905109489, 21.0948905109489, 19.6350364963504, 21.3138686131387, 21.0948905109489, 22.2627737226277, 22.2262773722628, 22.8467153284672, 22.7007299270073, 22.5948905109489, 22.521897810219, 22.4671532846715, 22.4489051094891, 22.6386861313869, 22.3357664233577, 22.311897810219, 22.2627737226277, 21.8832116788321, 21.8941605839416, 21.8284671532847, 21.5583941605839]",590700.0,-20646.0,-0.033771383144733096
AM,Armenia,Europe,2023,15.6598854445336,"[14.8577449947313, 15.2089919213207, 15.2792413066386, 15.2792413066386, 15.8061116965227, 15.9817351598174, 15.9817351598174, 15.8061116965227, 15.8061116965227, 15.9817351598174, 15.9817351598174, 15.9817351598174, 15.9817351598174, 15.9817351598174, 15.9079733052336, 15.8798735511064, 15.8201615735862, 15.7850368809273, 15.7534246575342, 15.7780119423955, 15.7499121882684, 15.7428872497366, 15.7182999648753, 15.6902002107482, 15.6796628029505, 15.6656129258869, 15.6515630488233, 15.6234632946962, 15.7461270379088, 15.7257362373209, 15.7005807438174, 15.6598854445336]",441600.0,-4000.0,-0.008976660682226212
AO,Angola,Africa,2023,4.31940322451271,"[2.14165396647148, 2.16571749418465, 2.18175984599342, 2.20582337370659, 2.22186572551536, 2.24592925322852, 2.26999278094169, 2.29405630865485, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.3261410122724, 2.36624689179434, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.40635277131627, 2.48656453036015, 2.6469880484479, 2.6469880484479, 2.6469880484479, 2.6469880484479, 2.72719980749178, 2.72719980749178, 3.20847036175503, 3.36889387984278, 3.76995267506216, 3.76995267506216, 3.88625972567578, 4.01860912809818, 4.11085265099864, 4.28892275607604, 4.28731852089516, 4.28571428571429, 4.28491216812385, 4.28330793294297, 4.28972487366648, 4.31940322451271, 4.31940322451271]",5385000.0,42000.0,0.007860752386299831
AR,Argentina,South America,2023,14.7577340144481,"[6.79543536169606, 7.00846643207671, 7.1619364999324, 7.30809846931878, 7.47655013903657, 7.895669586252, 8.16351139515254, 8.71527282958611, 8.76131384994281, 8.80735487029952, 8.85339589065623, 8.89943691101294, 8.94547793136965, 8.99151895172636, 9.03755997208306, 9.08360099243977, 9.12964201279648, 9.17568303315319, 9.2217240535099, 9.26776507386661, 9.31380609422331, 9.35984711458002, 9.40588813493673, 9.45192915529344, 9.49797017565015, 9.54401119600685, 9.59005221636356, 9.63463161702641, 9.6722683241434, 9.71063584110732, 9.74900335807125, 9.78737087503517, 9.82573839199909, 9.86520212373342, 9.90430045054427, 9.94339877735513, 9.98286250908945, 10.0212300260534, 10.0603283528642, 10.0997920845985, 10.1385250064859, 10.180911977608, 10.8993711381267, 11.6178302986454, 12.3476170117916, 13.0020206892268, 13.5144645538954, 13.0216794741092, 12.6030715937867, 13.8865198469684, 14.1143132762571, 14.4784027419985, 14.3937749617238, 14.2425068604774, 14.7452706006161, 14.6285035937574, 14.7534014813516, 14.6823352297849, 14.9267911235836, 15.3214284409268, 15.4306845130431, 15.7485867964585, 14.7577340144481]",40387343.1,206343.1000000015,0.0051353400861103874
AS,American Samoa,Oceania,2023,5.15,"[3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.25, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.85, 5.15]",1030.0,90.0,0.09574468085106383
AT,Austria,Europe,2023,16.0177120698013,"[20.4677653902084, 20.3708191953466, 20.0678623364033, 20.079980610761, 20.1163354338342, 19.583131362094, 19.3892389723703, 19.4013572467281, 19.2074648570044, 19.2195831313621, 19.2317014057198, 19.2438196800776, 18.3470673776054, 18.3470673776054, 18.3107125545322, 18.4197770237518, 18.5288414929714, 18.7469704314106, 18.456131846825, 18.6136694134755, 18.771206980126, 18.6015511391178, 17.4381968007756, 17.510906446922, 17.5472612699952, 17.4381968007756, 17.4381968007756, 17.6684440135725, 17.6805622879302, 17.2806592341251, 17.510906446922, 17.4018419777024, 17.1958313136209, 17.2443044110519, 17.1352399418323, 17.0867668444014, 17.0382937469704, 17.014057198255, 16.9898206495395, 16.9534658264663, 16.8080465341735, 16.7838099854581, 16.7235821619001, 16.714735821619, 16.7317014057198, 16.6892874454678, 16.6747455162385, 16.5899175957344, 16.5608337372758, 16.5269025690742, 16.4760058167717, 16.4214735821619, 16.4069316529326, 16.3802714493456, 16.3124091129423, 16.2928986912264, 16.1044595249636, 16.0827678138633, 16.0631362094038, 16.0563669413475, 16.0315232670868, 16.0033082888997, 16.0177120698013]",1321781.6,-5368.399999999907,-0.0040450589609312484
